"Index","SPX.Index","SPX.Index.1","SPX.Index.2","SPX.Index.3","KOSPI.Index","KOSPI.Index.1","KOSPI.Index.2","KOSPI.Index.3","NKY.Index","NKY.Index.1","NKY.Index.2","NKY.Index.3","HSCEI.Index","HSCEI.Index.1","HSCEI.Index.2","HSCEI.Index.3","SX5E.Index","SX5E.Index.1","SX5E.Index.2","SX5E.Index.3"
2003-01-30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2003-02-27,-0.0171498442588396,0,0,0,-0.0281525330284751,0,0,0,0.00276597526039524,0,0,0,0.0164351812739465,0,0,0,-0.048969659587609,0,0,0
2003-03-30,0.00832287425282896,0,0,0,-0.0715432845147914,0,0,0,-0.0477975372597736,0,0,0,-0.00473946426765082,0,0,0,-0.0497374859999598,0,0,0
2003-04-29,0.0779273500294773,0,0,0,0.112271431766194,0,0,0,-0.0178806127731299,0,0,0,0.00811044795176397,0,0,0,0.131979395030069,0,0,0
2003-05-30,0.0496456654892876,0,0,0,0.05528797457655,0,0,0,0.0730014669819994,0,0,0,0.109595362134788,0,0,0,0.00250521692853045,0,0,0
2003-06-29,0.0112586260108518,0.0112586260108518,0.0112586260108518,0,0.056039520085247,0.056039520085247,0.056039520085247,0,0.075271330673246,0.075271330673246,0.075271330673246,0,0.10273821960469,0.10273821960469,0.10273821960469,0,0.0376710220090262,0.0376710220090262,0.0376710220090262,0
2003-07-30,0.0160935064787742,0.0160935064787742,0.0160935064787742,0.0160935064787742,0.0630372380430462,0.0630372380430462,0.0630372380430462,0.0630372380430462,0.0515067997794834,0.0515067997794834,0.0515067997794834,0.0515067997794834,0.108499256048969,0.108499256048969,0.108499256048969,0.108499256048969,0.0406105243895398,0.0406105243895398,0.0406105243895398,0.0406105243895398
2003-08-30,0.0177153437906359,0.0177153437906359,0.0177153437906359,0.0177153437906359,0.0624103542269072,0.0624103542269072,0.0624103542269072,0.0624103542269072,0.0784396922805808,0.0784396922805808,0.0784396922805808,0.0784396922805808,0.0945323805896283,0.0945323805896283,0.0945323805896283,0.0945323805896283,0.0145457110023788,0.0145457110023788,0.0145457110023788,0.0145457110023788
2003-09-29,-0.0120162325679853,-0.0120162325679853,-0.0120162325679853,0,-0.0850896344652998,-0.0850896344652998,-0.0850896344652998,0,-0.012109511578215,-0.012109511578215,-0.012109511578215,0,-0.0362676323844813,-0.0362676323844813,-0.0362676323844813,0,-0.0649748540338875,-0.0649748540338875,-0.0649748540338875,0
2003-10-30,0.0535042684649465,0.0535042684649465,0.0535042684649465,0.0535042684649465,0.114783805549758,0.114783805549758,0.114783805549758,0.114783805549758,0.0327808263020408,0.0327808263020408,0.0327808263020408,0.0327808263020408,0.181542042755064,0.181542042755064,0.181542042755064,0.181542042755064,0.0721186462895558,0.0721186462895558,0.0721186462895558,0.0721186462895558
2003-11-29,0.0071032253560448,0.0071032253560448,0.0071032253560448,0,0.01751029826465,0.01751029826465,0.01751029826465,0,-0.0444425938684532,-0.0444425938684532,-0.0444425938684532,0,-0.00784179120596562,-0.00784179120596562,-0.00784179120596562,0,0.0212974694721435,0.0212974694721435,0.0212974694721435,0
2003-12-30,0.049518899306471,0.049518899306471,0.049518899306471,0.049518899306471,0.0180851160027382,0.0180851160027382,0.0180851160027382,0.0180851160027382,0.0554663193930462,0.0554663193930462,0.0554663193930462,0.0554663193930462,0.27000847271785,0.27000847271785,0.27000847271785,0.27000847271785,0.0483072441289423,0.0483072441289423,0.0483072441289423,0.0483072441289423
2004-01-30,0.017128882262968,0.017128882262968,0.017128882262968,0,0.0455596777375762,0.0455596777375762,0.0455596777375762,0,0.00996921153617336,0.00996921153617336,0.00996921153617336,0,-0.087905261189519,-0.087905261189519,-0.087905261189519,0,0.028027885637151,0.028027885637151,0.028027885637151,0
2004-02-28,0.0121351008291253,0,0.0121351008291253,0.0121351008291253,0.0403306540326378,0,0.0403306540326378,0.0403306540326378,0.0236715499437405,0,0.0236715499437405,0.0236715499437405,0.104099531117672,0,0.104099531117672,0.104099531117672,0.0188585759942717,0,0.0188585759942717,0.0188585759942717
2004-03-30,-0.0164942206699887,0,-0.0164942206699887,0,-0.00331081077065853,0,-0.00331081077065853,0,0.0592044232873388,0,0.0592044232873388,0,-0.0656108029923441,0,-0.0656108029923441,0,-0.0372146938722828,0,-0.0372146938722828,0
2004-04-29,-0.0169333934945444,0,0,0,-0.0202606538097445,0,0,0,0.00395277971328767,0,0,0,-0.162575684790328,0,0,0,-3.5874632509092e-06,0,0,0
2004-05-30,0.012011024205564,0,0.012011024205564,0,-0.0708290297267915,0,-0.0708290297267915,0,-0.0457003032038319,0,-0.0457003032038319,0,0.0575901874315363,0,0.0575901874315363,0,-0.0136752415602945,0,-0.0136752415602945,0
2004-06-29,0.017829189249313,0,0.017829189249313,0.017829189249313,-0.0227106632407885,0,-0.0227106632407885,-0.0227106632407885,0.0539202722160113,0,0.0539202722160113,0.0539202722160113,-0.00253929229480221,0,-0.00253929229480221,-0.00253929229480221,0.0221060308300265,0,0.0221060308300265,0.0221060308300265
2004-07-30,-0.0348922382153303,-0.0348922382153303,-0.0348922382153303,0,-0.0663566038715588,-0.0663566038715588,-0.0663566038715588,0,-0.0459945676145459,-0.0459945676145459,-0.0459945676145459,0,0.0102755716127483,0.0102755716127483,0.0102755716127483,0,-0.0329184886504432,-0.0329184886504432,-0.0329184886504432,0
