"","Code","Name","Mkt.Cap","Float.Rate","WICS1","WICS2","WICS3","Jaebul","Last","YTD.Max","YTD.Min","YTD.Avg","Ret1D","Ret1W","Ret1M","Ret3M","Ret6M","Ret12M","Turnover_1D","Turnover_5D","Turnover_20D","Turnover_52W","Inst_1D","Inst_5D","Inst_20D","Inst_60D","Inst_120D","Inst_250D","Sec_1D","Sec_5D","Sec_20D","Sec_60D","Sec_120D","Sec_250D","Fund_1D","Fund_5D","Fund_20D","Fund_60D","Fund_120D","Fund_250D","Pension_1D","Pension_5D","Pension_20D","Pension_60D","Pension_120D","Pension_250D","Others_1D","Others_5D","Others_20D","Others_60D","Others_120D","Others_250D","Foreign_1D","Foreign_5D","Foreign_20D","Foreign_60D","Foreign_120D","Foreign_250D","F_Start","Acct_type","NI_FQ_4","NI_FQ_3","NI_FQ_2","NI_FQ_1","NI_FQ0","Equity_FQ0","NI_FY0","NI_FY1","Equity_FY1","NI_FY2","Equity_FY2","NI_FQ1","NI_FQ2","NI_FY1_1M","Equity_FY1_1M","NI_FY2_1M","Equity_FY2_1M","NI_FQ1_1M","NI_FQ2_1M","ROE_Trailing","ROE_FY1","ROE_FY2","PBR_Trailing","PBR_FY1","PBR_FY2","PER_Trailing","EY_Trailing","PER_FY1","EY_FY1","PER_FY2","EY_FY2","NI_Growth_FQ0","NI_Growth_FY1","NI_Growth_FY2"
"1","A000060","메리츠화재",1368.305,0.4917,"금융","보험","손해보험","",14150,16000,9910,12303,0,0.0217,0.0969,0.1186,0.2864,0.1891,3826.811342,4650.19177,5546.798865,3815.302706,0.793456137337801,3.544275581833,-0.506444104201914,16.311341404146,22.4836640953589,26.5419186511779,0.127084239259522,0.646800238250975,0.549365821216761,2.92587544443673,2.02826124292464,0.688764566379572,0.407350700319008,-0.772861313815268,-9.01379443910532,-5.7205520698967,-13.2179959877367,-19.546563083523,0.0706786864039816,1.16805829109738,1.1658292559042,0.193282930340823,8.82836794428143,14.7144240501935,-0.0019951692056961,0.223181235177829,0.116246012402206,-21.9427978411246,-21.9246074522859,-21.7101158002054,-0.452654927081316,-2.10082547385269,3.20638307979581,6.20100050792769,13.9057081571726,21.3649222943715,3,2,39.32,40.37,32.7,41.1,36.86,1040.87,177.47,174.32,1089.83,208.18,1247,43.3,48.57,165.28,1110.53,201.7,1267.44,34,44,0.14509977230586,0.159951552076929,0.166944667201283,1.31457818939925,1.25552150335373,1.0972774659182,9.0598225518109,0.110377437778858,7.849386186324,0.127398496680199,6.57270150831012,0.152144441480518,-0.0625635808748729,-0.0177494787851468,0.194240477283157
"2","A000080","하이트진로",2112.122506,0.3687,"필수소비재","식품,음료,담배","음료","하이트진로",30400,33700,19550,25327,-0.0033,-0.0082,0.005,0.2459,0.4107,0.167,4661.660605,8179.98351,6723.35143,4661.326547,0.387842086655934,2.66289951649234,2.78885811938789,53.8943028525259,54.882129076655,46.4211757232229,-0.146961172525852,0.904668168902131,2.22799576569637,10.3594795935572,10.7144211264799,10.0771900964726,0.666310782637908,1.33833619592139,3.15782819464924,38.1827473410768,39.3118011687907,39.4864643329547,0,-0.214258405331343,-3.03658996188927,-9.6598847567036,-9.5575422082075,-14.078866124255,0,-1.8537797826013,-1.79004768391024,0.0655927862169184,-0.0338522030786031,0.525035833314491,-0.118653155433968,2.25055127555182,0.373486858721063,-45.4465731638769,-42.4157404437979,-44.2504304246072,12,2,20.79,-12.12,17.61,53.59,29.78,1433.34,70.14,104.88,1444.12,145.01,1529.12,3.86,32.85,103.07,1431.13,134.8,1517.42,2.38,31.63,0.0619950604880908,0.0726255435836357,0.0948323218583237,1.47356698759541,1.46256717308811,1.38126668018207,23.7691031510241,0.0420714232946107,20.1384678299008,0.0496562106137607,14.5653576029239,0.0686560555024927,0.432419432419433,0.495295124037639,0.382627765064836
"3","A000100","유한양행",1929.390458,0.7556,"건강관리","제약과생물공학","제약","",173000,195000,105000,137793,-0.0308,0.0058,0.0087,0.1307,0.3206,0.3516,5246.422924,6108.2388,7365.050275,5232.857575,0.251115577974938,2.83893287503757,5.33268937727897,48.2063128354085,78.8873861010875,126.459415712524,-0.060433594204082,1.04921219632154,0.284379969707511,8.7108754634465,11.1930272643652,11.2366887221332,0.678395601353181,0.96466736024461,2.92418777993148,41.9586868299936,58.4748926958775,70.956129917794,-0.151503807219513,-0.36311468064698,1.63005885457738,-1.86355228672951,2.57120583313261,11.5382761989383,-0.00274179857066547,0.0582671068646904,-0.402329138086781,-0.418246082152024,-0.0695763780956773,-0.425896166632747,-1.07331825521032,-0.558119273128488,-1.68069142591354,-32.917665647541,-52.0870047756813,-85.8491081020989,12,0,17.54,16.1,27,2.56,11.97,1097.18,94.22,68.61,1137.07,94.22,1223.78,25.85,28.62,67.63,1137.8,99.5,1220.5,NA,NA,0.0525255655407499,0.0603392930954119,0.0769909624278874,1.75849947866348,1.69680886664849,1.57658276651032,33.4789251778588,0.0298695371696505,28.1211260457659,0.0355604536736026,20.4775043302908,0.0488340758654255,-0.317559863169897,-0.271810655911696,0.373269202740125
"4","A000120","CJ대한통운",2292.640572,0.3606,"산업재","운송","도로와철도운송","CJ",100500,122000,62100,88561,-0.0147,0.0425,-0.0519,0.0372,0.3224,0.3189,4480.852404,6898.72126,10665.34202,4468.67224,0.182789227896469,4.27127135391199,16.2564470223464,34.6980512216112,74.461327294351,79.596449713357,-0.28473281332125,0.652365668769121,0.290041102875501,-0.0635250033427394,0.921129995600549,1.65172423721724,-0.0404904288678007,-0.445019604233018,3.21333840549342,12.2393672792422,22.965409686556,23.7630096341155,0.73551869429274,3.32585931398234,10.1648161882045,19.704301036857,33.4344820274776,35.5546573656291,0.00296165045795936,-0.77168659649804,-22.3386084262318,-21.6103564619287,-67.0313052455219,-66.2710421579332,-0.314257720464,-1.28907253762061,2.52193914328059,-7.42217956352209,5.91098324155453,5.99676206026768,12,2,17.89,38.59,28.08,22.77,26.91,2301.22,84.47,104.78,2340.78,125.7,2460.8,26.59,29.42,100.65,2299.43,127.09,2414.29,27.81,30.27,0.0505601376661075,0.0447628568255026,0.0510809492847854,0.996271791484517,0.97943445005511,0.931664731794538,19.7046890588741,0.0507493417943404,21.8805170070624,0.0457027592025009,18.2389862529833,0.0548276086252564,0.504192286193404,0.240440393038949,0.199656422981485
"5","A000150","두산",2690.787909,0.3545,"산업재","자본재","복합기업","두산",129000,173342,114574,136245,0,0.0662,0.0448,-0.0501,-0.003,-0.0802,12351.10591,41999.6937,18940.6789,12338.17731,3.70581418425721,-9.25468332777468,-18.5660526542822,-24.3755220471373,-16.2754522025021,-5.78417196983176,-2.53507159638422,-6.55876293370099,-3.01611285410306,3.00032194027523,0.720454404271667,2.73706819306211,0.900661844024958,-3.07359415892187,-8.56778415083922,-14.4057359074449,-16.8316090051228,-22.9114824671973,1.74631377831124,4.66461884937807,-1.58226517436012,-6.04427050738617,9.90378688371013,21.0641796815061,-0.164494569980618,-0.118942856450898,-0.759710564018296,-0.880548776094564,-0.215212056685364,0.284199285065243,-0.65709749701421,7.72843891948676,14.2557203678887,23.4670669467469,16.2141764700489,19.3159631148023,12,2,-0.4,70.8,38.95,80.73,20.89,3218.53,305.19,241.95,3312.09,341.14,3580.7,89.5,81.41,236.57,3319.65,320.85,3570.14,127.15,93.67,0.0656728382211755,0.073050551162559,0.0952718742145391,0.836030084852402,0.812413886398015,0.751469798921999,12.7302261863084,0.0785531997126274,11.1212560818351,0.0899179006976874,7.88763530808466,0.126780709419339,NA,-0.207215177430453,0.409960735689192
"6","A000210","대림산업",3027.6,0.76,"산업재","자본재","건설","대림",87000,131500,66900,96878,0.0296,0.0152,0.1615,-0.0832,-0.008,-0.0192,27815.99598,20089.0941,24797.95244,27761.13955,0.560110318404016,-0.671019949795217,21.3424197384067,-19.6541319857313,-14.266990355397,24.1444741709605,-1.22763575108997,-0.632960100409565,-1.13409631391201,-0.84623464130004,-3.50278768661646,-6.50047232131061,-0.00322697846479059,-3.53139450389748,2.53493526225393,-5.00611375346809,-2.636239926014,-0.870583960893117,0.738125908310213,2.09963337296869,12.5669110846875,-9.29557735500066,-5.17080525829039,19.5409928656361,0.00260932752014797,0.0012220901043731,-0.420722684634694,-0.128012286959968,-3.06715550270842,-3.03278174131325,1.2334357246664,3.36110120227243,7.8130301228696,0.244338750165147,21.2223576430176,43.3446195005945,12,2,118.39,4.61,127.06,34.72,117.94,4681.13,365.67,408.88,4842.24,456.54,5274.88,135.14,98.24,402.29,4714.91,453.97,5127.32,140.7,89.21,0.060739607744284,0.0844402590536611,0.0865498362048047,0.646766913117132,0.625247819191118,0.573965663673866,10.6481904828896,0.0939126701017308,7.4046174916846,0.135050865371912,6.63162044946773,0.150792707094729,-0.00380099670580292,0.118166652993136,0.116562316572099
"7","A000270","기아차",22903.02911,0.64,"경기관련소비재","자동차와부품","자동차","현대자동차",56500,84800,54000,71209,-0.0122,-0.0225,-0.0456,-0.1859,-0.2396,-0.1465,122319.5265,94178.86549,109232.2656,122079.0614,-0.689912671555785,-3.08435882697963,-10.5940353494141,-39.4563594911311,-76.4865220048616,-65.4520649997986,-0.000138409639387652,0.499695911184213,0.312211103852542,-2.602489378751,-4.34705381204486,-3.8103675972667,-0.325295835944558,-1.546358336703,-2.92976093588871,-18.2320630164016,-35.1434753950763,-23.8718567475986,-0.212183723675143,-1.12263665546203,-3.77078855313039,-9.97948388845234,-18.7582912258718,-20.8216388194601,-0.00394096342306924,-0.207144652229803,-0.642974338864646,-0.715564736930119,-0.901786829192045,-1.5530417321292,-0.132372010070767,0.857992185471226,7.9148251145894,13.5449480725914,44.6652674232225,95.2835347463784,12,2,616.62,765.89,1201.26,1096.47,829.46,16395.4,3415.58,4125.37,17465.27,4381.68,21685.65,1009.16,1123.29,4076.27,17423.12,4268.03,21463.93,976.49,1129.9,0.237449528526294,0.236204192663497,0.202054353916069,1.39691798370275,1.3113469823255,1.05613754302961,5.88301013850216,0.169981009119016,5.55175150592553,0.180123335659507,5.22699720426868,0.191314431770375,0.345172067075346,0.207809508194801,0.0621301846864646
"8","A000640","동아제약",1213.715,0.603,"건강관리","제약과생물공학","제약","",109000,119500,68600,91602,0.0187,-0.018,0.0283,0.0431,0.293,0.1913,3366.594136,4012.4387,2941.6401,3362.576952,0.836349554879029,1.36831134162468,0.414858512912834,-2.84852704300433,-6.43884272666977,-32.9985622654412,-0.579386429268815,-0.204594983171502,-1.213736338432,1.4572119484393,1.26367392674557,1.66771441400988,-0.0772751428465497,-1.88338283699221,-2.15819199729755,-7.79882427093675,-15.8227260930284,-27.8436947718369,0.605059672163564,0.266034447955245,1.56408217744693,1.75565103834096,5.63438698541256,-3.58010735633983,-0.000634415822495396,0.152062057402273,0.452923462262558,9.44394689033257,27.4521366218593,50.1311510527595,0.103483931565483,0.424885578574871,1.36269223005401,3.02969807574266,16.6697783252246,10.2256625319783,12,0,21.39,-2.07,16.4,8.64,20.35,726.28,69.22,57.31,764.64,70.66,823.18,14.6,15.6,60.03,785.1,73.76,849.13,18.67,14.25,0.059646417359696,0.0749503034107554,0.085837848344226,1.67113923004902,1.587302521448,1.47442236205933,28.0174284395199,0.0356920693902605,21.178066655034,0.0472186633600145,17.1768327200679,0.05821795067211,-0.0486208508648901,-0.172060098237504,0.232943639853429
"9","A000660","SK하이닉스",17874.43378,0.7895,"IT","반도체와반도체장비","반도체와반도체장비","SK",25750,30950,20100,25008,0,0.0138,0.0158,0.1319,0.1051,0.2175,148920.3638,96165.45842,118944.7565,148759.8264,-0.131676338896594,-1.99097775280689,1.03878423386903,22.3861362505213,3.25525836041336,-6.8570787476995,0.0388599722122219,1.17018084362502,1.86428786557064,1.29869624323283,5.78917079408599,-0.621949771211158,-0.0191446623826984,-1.99392497903226,-1.91242869120971,4.23798207721464,-10.8026800947426,-7.14813691849432,0.286127105504318,0.741451178992256,4.50009835220638,12.9746146286039,10.5700500684615,15.4219184446804,-0.058373877060513,-0.0769892919091952,0.0632232614419633,0.147165500869925,0.314047989944216,0.348331593416214,-0.370202496003205,0.298795478823833,2.33198435894734,4.38357605977268,12.0434707274962,52.5618479199737,12,2,-561.1,-239.89,-271.12,-53.16,1.89,9787.21,-56.64,-202.13,9861.64,1206.74,11093.22,99.54,142.08,-220.32,9861.5,1090.91,10935.82,116.68,100.97,-0.057450488954462,-0.020496590830734,0.108781760390581,1.82630532909787,1.81252142442839,1.61129354506627,NA,-0.0314572202353702,NA,-0.0113083302379159,14.812166481595,0.0675120686256502,NA,NA,NA
"10","A000670","영풍",2053.8746,0.1494,"소재","소재","비철금속","영풍",1115000,1395000,783000,1039859,0.1007,0.0773,0.0721,-0.0062,0.243,0.0211,1135.95787,1909.5918,1047.27505,1133.193469,-0.344091114423441,-0.94177122595508,-1.10404987724178,-1.58708813089173,-4.92340671626203,-7.37990040872018,0.0356156115860238,0.296537091407625,0.0211794819411078,1.2528856435539,-6.80122340477846,-4.75661464434099,0.103088085319328,0.433259167818717,0.646241985757066,1.79905822877404,1.77662745330216,3.37240160621296,-0.42964648377267,-1.02564197444187,-1.1678609784648,-1.96297768130537,1.02253565042384,-3.51315995630892,-0.0260580660571975,-0.0356107427396006,-0.0485764807646971,0.134949816313031,1.86707601330675,1.81023223131539,0.790496167584915,1.03869048285616,1.81569994584869,1.05927109668721,3.23705254449322,2.72190424868198,12,0,-1.51,-9.84,47.68,25.46,17.83,1516.13,231.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0535112424396325,NA,NA,1.35468238211763,NA,NA,25.3158461728091,0.0395009510317718,NA,NA,NA,NA,NA,NA,NA
