"Index","SPX.Index","SPX.Index.1","KOSPI.Index","KOSPI.Index.1","NKY.Index","NKY.Index.1","HSCEI.Index","HSCEI.Index.1","SX5E.Index","SX5E.Index.1"
2003-01-31,0,0,0,0,0,0,0,0,0,0
2003-02-03,0.00539908846558368,0,0.0144459838475315,0,0.0192867094967111,0,0,0,0.0100348283270393,0
2003-02-04,-0.0140877812906826,0,0.00561283123199141,0,-0.00186923803552386,0,0.0150304634045919,0,-0.0380362262356158,0
2003-02-05,-0.00543503890591845,0,-0.00513432044784523,0,0.00765477495315214,0,0.0266259514151588,0,0.0188064238495487,0
2003-02-06,-0.00644863025877507,0,-0.018612239461943,0,-0.00767966689474087,0,0.000874576030401419,0,-0.0249658494499964,0
2003-02-07,-0.0100936586529856,0,-0.0203901611535199,0,-0.00424672243313751,0,-0.00541142342614065,0,-0.0167198186074807,0
2003-02-10,0.00756909207053225,0.00756909207053225,-0.000398282191591104,0,0.00435242703736671,0,-0.0149311641223927,0,-0.00367922759655037,0
2003-02-11,-0.00809837673600722,-0.00809837673600722,-0.00220008661758331,0,0,0,-0.00557766399101789,0,0.0303563448194755,0
2003-02-12,-0.0126869271587073,-0.0126869271587073,0.012691412896281,0,0.021124511339516,0,0.0207194205300276,0,-0.0245082820461312,0
2003-02-13,-0.00160013680558946,-0.00160013680558946,-0.0130638275986216,0,-0.0074456064458569,-0.0074456064458569,-0.0115031222123104,0,-0.00603294954600764,0
2003-02-14,0.0214346012209892,0.0214346012209892,-0.00074695572115957,-0.00074695572115957,0.0118911677903546,0.0118911677903546,-0.0160093131968541,0,0.0359088576123858,0
2003-02-18,0.0194995747942843,0.0194995747942843,0.049040400528475,0.049040400528475,-0.00102850865096449,-0.00102850865096449,0.00568158368986516,0,0.0367505011431977,0
2003-02-19,-0.00709611475968364,-0.00709611475968364,-0.00434170188085181,-0.00434170188085181,-0.00167146556355291,-0.00167146556355291,-1.36791420440874e-05,0,-0.0318481949474313,-0.0318481949474313
2003-02-20,-0.00950149681114143,-0.00950149681114143,0.00778922490554734,0.00778922490554734,-0.00317107682947626,-0.00317107682947626,0.00512518866074796,0,-0.015582968779719,-0.015582968779719
2003-02-21,0.013224226496237,0,-0.00315436574127592,0,-0.015880391912074,-0.015880391912074,-0.00889612716789234,0,0.0158618437093161,0.0158618437093161
2003-02-24,-0.0183807491422709,0,0.0210238568588468,0,0.00603861613382906,0.00603861613382906,0.00144640960855402,0,-0.0215872297067814,-0.0215872297067814
2003-02-25,0.00719450383146358,0,-0.0390076100537085,0,-0.0238717097005822,-0.0238717097005822,0.00786149148947834,0,-0.0366938507252681,-0.0366938507252681
2003-02-26,-0.013141419320987,0,-0.00336006753904605,0,-0.00044016558838067,-0.00044016558838067,-0.0055553540007619,0,-0.0107288713784656,-0.0107288713784656
2003-02-27,0.011757597728234,0,-0.0132145156371768,0,0.000307533616296096,0.000307533616296096,-0.00315117906996887,0,0.0220692870707198,0.0220692870707198
2003-02-28,0.00462210968851529,0,-0.0120694983346498,0,0.000437831513820708,0.000437831513820708,0.00526551749377835,0,0.0172589942074026,0.0172589942074026
2003-03-03,-0.00753730012482912,0,0.0253897085657682,0.0253897085657682,0.0152289119745928,0.0152289119745928,0.00617994657395249,0,0.000775436416549535,0.000775436416549535
2003-03-04,-0.0153567877720678,0,-0.0228120127448985,-0.0228120127448985,-0.0011990012249129,-0.0011990012249129,-0.0134508663461496,0,-0.0230350216347164,-0.0230350216347164
2003-03-05,0.00956216012360245,0.00956216012360245,-0.0283048319400604,-0.0283048319400604,-0.000896203164540421,-0.000896203164540421,-0.0188422341113205,0,-0.00594350800749155,-0.00594350800749155
2003-03-06,-0.00933903717539319,-0.00933903717539319,-0.00879948595295033,-0.00879948595295033,-0.0122122790825036,-0.0122122790825036,-0.0259979347435016,0,-0.0179034893780641,-0.0179034893780641
2003-03-07,0.00825933584722049,0.00825933584722049,-0.0167648065114437,-0.0167648065114437,-0.0268880352246046,-0.0268880352246046,-0.0071191107827665,0,-0.0249100741429514,0
2003-03-10,-0.0258297240888417,0,-0.00325995384784439,0,-0.0125071830965162,-0.0125071830965162,-0.00110644589286313,0,-0.0281362142086375,-0.0281362142086375
2003-03-11,-0.00835934016941597,0,-0.0215162428340439,0,-0.022360629972172,-0.022360629972172,0.00381638773338477,0,-0.00105867103217849,-0.00105867103217849
2003-03-12,0.00432105703545527,0,-0.00135203650498572,0,0.0102525555076483,0,0.013323439133808,0,-0.0437875451058242,-0.0437875451058242
2003-03-13,0.0344570312985737,0,-5.64111242736809e-05,0,-0.00937676254935138,-0.00937676254935138,0.00352839358231805,0,0.0677320992193076,0.0677320992193076
2003-03-14,0.00164683255198939,0,0.011038399338072,0,0.0170463210549325,0.0170463210549325,0.0126044845429216,0,0.0530603771292002,0.0530603771292002
2003-03-17,0.0354266924286246,0,-0.041681391239654,-0.041681391239654,-0.0163757436561955,-0.0163757436561955,-0.00619103773584906,0,0.0376446716128691,0.0376446716128691
2003-03-18,0.00424205194775107,0,0.0428344072665165,0,0.0105213144910081,0.0105213144910081,0.00572577493372495,0,-0.00191844300278032,0
2003-03-19,0.00873679958451135,0,0.00831921981723771,0.00831921981723771,0.0121416161499335,0.0121416161499335,-0.000304322788158617,0,0.015460614896047,0.015460614896047
2003-03-20,0.00188782865380643,0,0.0492450810292002,0,0.0178871301098988,0.0178871301098988,0.00224799085817051,0,-0.0138398653962216,-0.0138398653962216
2003-03-21,0.0229766921328811,0,0.01285930408472,0,0,0,0.00349993458066211,0,0.0427560051741165,0.0427560051741165
