,SPX Index,KOSPI Index,NKY Index,HSCEI Index,SX5E Index
2005-01-31,1181.27,932.7,11387.59,4721.52,2984.59
2004-12-31,1211.92,895.92,11488.76,4741.32,2951.01
2004-11-30,1173.82,878.06,10899.25,4967.44,2876.39
2004-10-29,1130.2,834.84,10771.42,4504.78,2811.72
2004-09-30,1114.58,835.09,10823.57,4649.66,2726.3
2004-08-31,1104.24,803.57,11081.79,4292.02,2670.79
2004-07-30,1101.72,735.34,11325.78,4335.34,2720.05
2004-06-30,1140.84,785.79,11858.87,4291.02,2811.08
2004-05-31,1120.68,803.84,11236.37,4301.93,2749.62
2004-04-30,1107.3,862.84,11761.79,4061.18,2787.48
2004-03-31,1126.21,880.5,11715.39,4778.13,2787.49
2004-02-27,1144.94,883.42,11041.92,5102.14,2893.18
2004-01-30,1131.13,848.5,10783.61,4597.72,2839.13
2003-12-31,1111.92,810.71,10676.64,5020.18,2760.66
2003-11-28,1058.2,796.18,10100.57,3832.27,2630.47
2003-10-31,1050.71,782.36,10559.59,3862.44,2575.04
2003-09-30,995.97,697.52,10219.05,3221.21,2395.87
2003-08-29,1008.01,759.47,10343.55,3340.18,2556.71
2003-07-31,990.31,713.52,9563.21,3038.89,2519.79
2003-06-30,974.5,669.93,9083.11,2726.43,2419.51
2003-05-30,963.59,633.42,8424.51,2460.23,2330.06
2003-04-30,916.92,599.35,7831.42,2204.85,2324.23
2003-03-31,848.18,535.7,7972.71,2187.04,2036.86
2003-02-28,841.15,575.43,8363.04,2197.43,2140.73
2003-01-31,855.7,591.86,8339.94,2161.61,2248.17
