,CESIUSD Index,CESIG10 Index,CESIJPY Index,CESICNY Index,CESIEUR Index
2003-07-24,6.7,9.3,83,,-11.2
2003-07-23,7.1,10.5,82.6,,2
2003-07-22,9.9,11.7,83.7,,1.7
2003-07-21,11.9,11.4,83.1,,-2
2003-07-18,15.3,11.9,82.2,,-7.4
2003-07-17,16.6,12,82,,-8.8
2003-07-16,15.2,11,81.9,,-10.1
2003-07-15,19,12.1,82,,-11.2
2003-07-14,11.3,0.2,82.1,,-43.3
2003-07-11,9.3,-2,82.4,,-46.9
2003-07-10,10.4,-4.2,80.9,,-47.9
2003-07-09,10.2,-3.8,79.1,,-48.9
2003-07-08,12.6,-2.1,79.2,,-49.8
2003-07-07,15.4,-1.9,61.5,,-44.3
2003-07-03,20.4,2.1,58.6,,-32.1
2003-07-02,15.9,-1.2,58.3,,-32.5
2003-07-01,15.4,-1.6,58.3,,-32.9
2003-06-30,17.9,-5.3,25.2,,-33.3
2003-06-27,14.7,-9.8,22.8,,-39.8
2003-06-26,12.4,-12.6,4.9,,-40.4
2003-06-25,21.5,-3.1,3.9,,-21.9
2003-06-24,16.5,-7.9,4.3,,-30.8
2003-06-23,13.8,-9.5,4.3,,-32.2
2003-06-20,12.3,-11.9,5.3,,-39.6
2003-06-19,12,-12.8,1.3,,-41
2003-06-18,12.3,-12.1,1.7,,-42.3
2003-06-17,11.6,-12,1.9,,-41
2003-06-16,3,-16,2.1,,-43.6
2003-06-13,-3,-17.6,2.5,,-41.3
2003-06-12,-5,-17.5,2.5,,-40.9
2003-06-11,-3.6,-16.4,7,,-40.6
2003-06-10,-4.2,-15.9,-2.8,,-36.3
2003-06-09,-7.5,-19.6,-7.3,,-36.2
2003-06-06,-8.9,-18.6,0,,-35.7
2003-06-05,-10.7,-18.2,1.1,,-35.6
2003-06-04,-11.1,-19.1,2.1,,-41.1
2003-06-03,-21.8,-23.4,2.9,,-41.1
2003-06-02,-25.2,-24.4,3.6,,-41.1
2003-05-30,-34.1,-26.8,5.3,,-38.2
2003-05-29,-39.7,-29,5.7,,-38.3
2003-05-28,-43.2,-29.7,6.1,,-38.4
2003-05-27,-41.5,-33.9,7.9,,-55.5
2003-05-23,-50.8,-37.8,11.4,,-58.3
2003-05-22,-52.9,-39,8.7,,-58.3
2003-05-21,-54.6,-38,9.3,,-56.7
2003-05-20,-56.7,-38.1,9.2,,-55.4
2003-05-19,-63.2,-40.2,9.4,,-54.3
2003-05-16,-73.7,-43.4,10,,-49.9
2003-05-15,-74.3,-43.4,9.7,,-48.8
2003-05-14,-78.4,-44.8,9.9,,-45
2003-05-13,-58.9,-37.3,11.4,,-44.2
2003-05-12,-45.1,-31.1,14.2,,-46.5
2003-05-09,-45.6,-30.6,9.7,,-45.9
2003-05-08,-46.1,-27.9,11.5,,-42
2003-05-07,-46.6,-27.3,13.1,,-42
2003-05-06,-45.3,-20.6,14.5,,-23
2003-05-05,-44.7,-21.1,15.7,,-25.8
2003-05-02,-47.6,-22.9,18.8,,-29.1
2003-05-01,-47.4,-22.8,19.7,,-29.7
2003-04-30,-41.9,-21.3,20.5,,-30.2
2003-04-29,-39.7,-17.8,45.9,,-32.9
2003-04-28,-57.8,-21.2,46.6,,-15.6
2003-04-25,-58.1,-12.9,47.5,,11.7
2003-04-24,-74.3,-18.8,51.1,,10.7
2003-04-23,-76.9,-16.7,52.2,,20.7
2003-04-22,-77.1,-18.4,52.6,,16
2003-04-21,-77.4,-18,52.4,,16.6
2003-04-17,-77.2,-15.6,51.5,,24.6
2003-04-16,-77.2,-15.2,51.7,,25.8
2003-04-15,-77.2,-13.8,53.3,,26.8
2003-04-14,-71.8,-10.1,54.3,,30.4
2003-04-11,-76.4,-10.7,53.6,,34.3
2003-04-10,-94.7,-17.8,53.6,,35.9
2003-04-09,-104.2,-19.9,51.9,,37.2
2003-04-08,-107.2,-19.2,62.2,,37.3
2003-04-07,-109.3,-19.8,62.3,,38.2
2003-04-04,-113.9,-21.6,62.9,,41.6
2003-04-03,-107.8,-18.4,61.7,,42.4
2003-04-02,-100.7,-15.1,61.9,,43.2
2003-04-01,-101.7,-15.6,62.1,,43.9
2003-03-31,-91.7,-10.8,62.3,,44.6
2003-03-28,-91,-7.4,76.3,,49.1
2003-03-27,-93.8,-11.1,68.6,,43.8
2003-03-26,-94.6,-8.3,68.8,,54.5
2003-03-25,-91.3,-1.9,66.2,,71.8
2003-03-24,-92.4,-1,64.7,,77.1
2003-03-21,-94.1,-2.7,54.2,,81.1
2003-03-20,-91,-5.8,53.7,,66.8
2003-03-19,-87.6,-3.2,53.3,,67.8
2003-03-18,-88.1,-3.4,53,,67.4
2003-03-17,-85.6,-6.7,52.8,,57.8
2003-03-14,-83.9,-5.4,52.2,,59.1
2003-03-13,-82.7,-5.6,44.8,,59.6
2003-03-12,-64.2,1.5,44.6,,60
2003-03-11,-75.4,-6.1,21.3,,60.4
2003-03-10,-74.3,-6.5,25,,58.9
2003-03-07,-73,-6.8,24,,57.6
2003-03-06,-39.3,5.4,24,,56.5
2003-03-05,-39,5.2,24,,55.8
2003-03-04,-41.3,5.3,23.9,,55.4
2003-03-03,-42.1,6,23.9,,55.8
2003-02-28,-37.5,7.3,23.7,,56.3
2003-02-27,-49.6,1.8,14.7,,58.4
2003-02-26,-44.8,0.2,14.6,,49.3
2003-02-25,-45.1,-0.5,12.9,,48
2003-02-24,-24.1,-0.2,11.9,,19.9
2003-02-21,-21.1,2.1,10.1,,22.9
2003-02-20,-17,4.5,12.9,,23.5
2003-02-19,15.1,19.8,12.5,,24.1
2003-02-18,13.4,19,12.2,,24.5
2003-02-14,17.6,19.4,11.2,,18.7
2003-02-13,15.2,14.7,-18.1,,19.1
2003-02-12,-1.8,5.9,-18.3,,19.4
2003-02-11,-1.3,4.9,-31.2,,19.8
2003-02-10,0.4,5.8,-31.5,,20.1
2003-02-07,2.8,6.9,-27.4,,21.7
2003-02-06,-9,2.4,-25.7,,20.2
2003-02-05,-8.6,8.2,-24.4,,38.2
2003-02-04,-9.3,7.9,-23.5,,36.7
2003-02-03,-8.9,8.1,-22.7,,35.7
2003-01-31,-7.9,7.2,-21,,29.9
