Code,F_Start,Acct_type,NI_FQ_4,NI_FQ_3,NI_FQ_2,NI_FQ_1,NI_FQ0,Equity_FQ0,NI_FY0,NI_FY1,Equity_FY1,NI_FY2,Equity_FY2,NI_FQ1,NI_FQ2,NI_FY1_1M,Equity_FY1_1M,NI_FY2_1M,Equity_FY2_1M,NI_FQ1_1M,NI_FQ2_1M
A051370,12,1,10,16.26,13.22,11.44,10.33,281.99,31.08,51.57,300.35,78.89,377.07,17.75,16.05,52.81,300.52,77.81,376.75,18.16,15.72
A128940,12,2,-0.63,-9.47,-2.63,4.72,9.71,351.85,1.29,4.34,302.29,23.06,323.44,4.42,1.96,4.27,308.5,22.97,335.7,0.59,2.85
A004010,12,1,10.52,10.13,13.28,9.87,8.68,863.09,47.43,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A082270,12,0,0.18,-0.53,1.43,4.83,-0.63,86.39,-9.23,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A071320,12,2,-27.22,1.01,79.84,-3.13,-7.08,1446.35,3.14,115.56,1490,135.78,1614.25,46.86,74.3,109.9,NA,110.4,NA,NA,NA
A096530,12,1,4.46,1.51,2.26,3.01,1.69,39.53,9.35,15.09,56.71,28.26,83.72,22.84,16.64,14.31,68.69,29.03,94.58,6.19,4.37
A001230,12,2,-197.31,-36.35,-35.54,-33.91,-22.48,2608.99,7.49,-89.67,2643.87,-19.95,2563.01,-10.42,5.41,-99.86,2675.33,-33.96,2521.81,-8.41,-24.14
A009970,12,2,39.05,25.52,14.59,24.87,33.31,503.6,102.51,114.19,611.97,133.01,814.08,37.37,29.38,106.3,NA,118.2,NA,NA,NA
A002270,12,0,19.28,-2.45,10.47,16.51,29.63,578.44,48.12,55.7,572.54,72.15,643.19,5.8,7.71,NA,NA,NA,NA,NA,NA
A056190,12,0,11.69,24.85,17.16,11.82,11.64,347.2,88.75,66.93,381.64,88.52,445.72,23.11,19.55,69.6,378.74,87.81,436.55,23.39,20.77
A041510,12,0,5.3,7.27,9.4,9.71,8.74,203.31,22.77,39.26,166.43,56.82,231.79,11.19,11.15,38.43,170.71,58.64,229.99,11.52,11.15
A003670,12,0,24.32,24.15,18.82,21.76,19.44,379.85,91.79,81.18,401.44,94.48,490.2,21,22.29,NA,NA,NA,NA,NA,NA
A121440,12,0,5.85,13.79,24,19.21,18.37,400.53,46.61,78.11,413.36,79.19,474.96,16.47,18.71,79.19,417.54,76.26,481.94,17.53,17.9
A900140,12,2,6.2,6.21,9.14,10.55,7.01,117.58,22.84,36.85,127,43.25,165,8.1,9.76,NA,NA,NA,NA,NA,NA
A036830,12,0,13.04,-15.53,15.7,16.22,22.55,324.97,7.03,74.31,332.48,92.11,414.97,20.54,20.35,74.86,334.38,97.56,426.89,21.03,21.52
A007310,12,0,20.96,5.09,20.08,19.07,10.63,557.53,69.98,61.1,NA,76,NA,NA,NA,NA,NA,NA,NA,NA,NA
A005250,12,2,8.99,-7,86.53,7.29,15.86,661.22,27.68,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A078520,12,0,9.49,12.29,8.65,6.35,12.81,139.67,28.04,42.41,155.51,54.58,207.83,17.13,10.47,43.4,154.5,54.9,204,18.4,NA
A020000,12,0,15.15,32.82,17.88,13.32,8.72,644.38,85.71,71.1,665.3,79.97,735.13,30.12,19.5,69.87,666.62,80.13,736.97,28.96,20.31
A014620,12,0,7.42,5.67,9.42,14.2,16.7,337.65,22.97,57.6,354.67,71.49,422.77,17.28,16.55,57.59,354.45,70.79,420.52,17.24,16.14
A091700,12,0,10.99,8.49,10.89,13.58,23.94,195.39,26.23,69.94,218.64,90.41,302.85,21.94,18.67,71.57,221.97,96.04,311.91,23.17,19.97
A018670,12,0,29.35,10.2,18.24,5.9,56.38,865.42,107.56,98.85,870,113.7,971,NA,NA,NA,NA,NA,NA,NA,NA
A039130,12,0,7,3.04,8.18,4.97,9.42,144.78,21.05,29.4,120.7,36.62,143.28,7.09,9.99,29.33,129.58,36.31,153.36,6.97,11.15
A108670,12,2,14.98,10.41,1.78,19.48,17.36,746.93,46.55,51.65,760.32,74.15,822.94,13.48,19.8,NA,NA,NA,NA,NA,NA
A068870,12,2,2.55,0.96,-5.03,0.01,1.28,241.78,5.69,-0.2,246.7,11.25,256.67,2.46,-1.03,-2.9,244.8,13.3,258.1,NA,NA
A112040,12,2,6.81,6.49,5.39,1.67,-4.8,285.18,23.32,7.6,283.01,41.94,316.74,1.81,7.43,3.75,281.74,38.62,304.97,1.44,5.4
A028670,12,2,-39.55,48.03,-118.41,-92.4,-100.72,2022.21,-22.78,-343.19,2072.77,-45.45,2044.75,-36.99,-31.62,-345.93,2040.41,-55.81,2025.99,-32.71,-29.62
A034120,12,0,15.49,2.33,-12.88,28.02,7.75,542.72,59.06,39.78,559.29,70.34,616.5,15.73,2.7,35.06,551.88,62,593.71,12.3,6.52
A097230,12,2,-6.38,-69.79,38.59,-48.4,-76.11,1754.48,-96.85,-46.79,1826.09,-30.01,1801.69,8.57,22.18,-54.12,1813.45,-33.33,1779.7,38.69,-4.26
A003620,12,0,-35.42,-44.75,-31.56,-20.93,-13.43,860.59,-112.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A031430,12,0,4.1,17.31,9.07,9.28,17.59,389.12,46.17,49.63,405.14,49.22,452.14,15.49,9.3,52.28,402.37,50.96,449.53,18.29,7.94
A004490,12,1,23.89,42.32,27.27,25.73,22.13,560.67,105.37,97,NA,119,NA,22,NA,NA,NA,NA,NA,NA,NA
A023590,12,0,5.32,4.3,5.72,12.81,5.88,446.9,61.14,30.25,446.21,30.65,470.96,5.31,4.55,30.25,446.21,30.65,470.96,5.31,4.55
A029530,12,0,22.54,6.21,21.62,19.6,18.47,808.85,66.32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A003920,12,0,8.68,16.5,11.27,17.92,16.21,861.7,47.98,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A015750,12,0,6.56,23.75,9.88,9.21,29.56,549.36,51.09,79.59,576.75,76.94,647.66,11.1,11.37,111.48,602.5,94.82,687.32,NA,NA
A006730,12,0,-0.39,0.82,0.19,0.25,-0.39,416.3,0.45,2.95,419.15,20.4,439.55,1.2,NA,NA,NA,NA,NA,NA,NA
A079160,12,0,22.08,-1.3,12.07,16.13,40.36,385.78,18.48,69.91,384.88,65.74,442.06,2.53,13.21,71.24,388.86,67.08,441.86,-0.04,13.43
A081660,12,2,-6.46,-30.96,43.18,39.61,31.86,423.28,2.18,92.45,414.09,96.85,512.36,-21.23,35.84,92.42,404.43,95.59,504.79,-23.82,40.2
A067250,12,2,-54.75,6.48,32.4,-121.09,-178.54,1102.4,71.12,-12.69,1429.75,0.63,1447.31,51.22,14.87,NA,NA,NA,NA,NA,NA
A077360,12,1,9.79,10.84,9.32,10.87,10.9,171.3,34.57,41.19,180.71,50.08,229.99,10.47,10.75,40.98,180.7,48.9,231.28,10.65,10.21
A105630,12,0,16.95,22.33,11.04,11.13,23.06,234.33,49.65,60.01,245.97,68.56,308.7,14.62,11.4,61.62,247.83,70.31,313.79,15.3,11.39
A082740,12,2,51.07,29.6,22.87,57.76,18.25,665.84,224.78,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A122870,12,2,0,0,3.03,3.5,5.78,91.41,12.93,20.63,97.25,34.16,131.49,9.67,7.06,19.55,95.5,31.3,127,6.46,4.86
A063080,12,2,4.01,5.79,5.21,5.87,4.86,84.35,16.1,22.53,91.57,34.5,126.19,6,7.35,21.62,93.51,33.2,128.87,5.99,6.58
A085660,12,2,2.22,1.97,1.6,1.31,10.87,301.91,4.02,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A020760,12,1,5.54,13.39,14.29,16.81,17.94,137.21,30.67,62.91,156.28,70.5,225.54,14.56,14.62,63.65,163.35,70.88,233.65,15.1,14.2
