Code,F_Start,Acct_type,NI_FQ_4,NI_FQ_3,NI_FQ_2,NI_FQ_1,NI_FQ0,Equity_FQ0,NI_FY0,NI_FY1,Equity_FY1,NI_FY2,Equity_FY2,NI_FQ1,NI_FQ2,NI_FY1_1M,Equity_FY1_1M,NI_FY2_1M,Equity_FY2_1M,NI_FQ1_1M,NI_FQ2_1M
A010130,12,2,178.74,165.07,168.41,152.25,101.87,3761.29,704.64,610.99,3919.53,800.85,4634.83,181.01,181.54,594.42,3880.44,763.8,4564.95,171.18,175.56
A086280,12,0,67.52,89.18,91.73,114.23,98.26,1695.1,358.81,419.84,1656.52,482.9,2033.37,103.95,116.03,449.26,1773.68,510.35,2186.81,119.7,117.45
A003600,12,2,714.43,103.11,459.51,78.29,250.03,11271.09,1673.08,1186.55,12567.92,1532.97,14331.55,321.9,435.84,1210.12,12876.07,1559.66,14844.38,314.19,464.05
A000720,12,2,219.59,121.02,115.63,104.95,156.49,4512.57,635.35,544.56,4650.78,689.05,5268.5,167.95,144.65,560.4,4636.02,701.63,5264.9,175.71,145.28
A009150,12,2,64.93,144.86,69.51,135.16,139.09,3825.11,349.47,484.59,3800.2,563.65,4277.96,125.59,116.28,469.79,3932.74,562.07,4452.68,130.63,119.76
A004020,12,2,-136.96,272.77,154.03,186.69,232.86,9726.41,747.14,715.12,9722.53,770.32,10424.86,159.69,155.38,692.77,9720.22,736.27,10408.07,144.35,118.9
A011170,12,2,287.29,51.16,167.41,-12.66,157.87,5647.64,978.15,417.51,5808.51,687.06,6435.62,105.17,162.54,376.26,5765.82,543.95,6290.27,71.93,119.56
A090430,12,2,63.66,78.81,113.36,58.98,70.06,2320.41,327.03,305.02,2386.18,364.91,2702.71,58.09,131.37,297.9,2377.95,371.78,2703.75,57.4,138.38
A006400,12,2,99.96,54.93,112.01,105.33,1198.51,7465.57,320.11,1380.82,7394.64,582.97,7884.13,136.41,118.18,1530.33,7410.23,614.43,7924.83,135.75,126.72
A028050,12,2,128.53,150.48,143.81,143.35,124.36,1658.8,513.26,529.59,1746.12,581.52,2185.14,117.38,138.08,526.91,1746.48,587.74,2201.13,130.1,144.53
A139480,12,2,118.25,75.22,118.21,142.7,151.8,6053.94,305.84,505.91,6096.53,535.93,6693.67,98.86,129.03,518.16,6052.85,544.62,6657.36,101.97,125.23
A078930,12,2,74.86,125.43,179.06,14.83,203.93,6272.35,773.67,618.34,6516.02,878.02,7312.59,223.4,222.29,612.58,6509.36,881.49,7298.01,218.51,209.1
A088350,3,2,63.73,135.82,161.46,153.01,170.74,6840.46,511.9,597,6961.49,625.15,7458.92,147.12,152.09,595.35,6987.46,621.76,7518.94,135.9,167.77
A035250,12,2,104.27,79.51,93.29,80.85,81.76,2322.53,381.18,328.86,2408.48,411.62,2628.32,73.34,96.27,329.02,2397,461.11,2737.1,76.43,97.43
A024110,12,2,412.24,41.72,468.71,309.08,246.33,13785.38,1449.58,1252.13,13866.97,1187.4,14710.78,233.38,353.25,1237.78,13825.31,1160.66,14658.59,226.53,344.17
A161390,12,0,0,0,0,0,70.95,3123.68,0,708.75,3845.34,749.49,4571.32,162.86,182.63,693.11,3842.82,728.04,4561.27,161.88,189.7
A001800,12,2,35.55,4.86,64.04,33.07,38.73,982.07,99.36,164.12,1025.84,208.83,1227.33,32.51,70.56,165.89,1027.04,210.8,1226.51,30.22,76.36
A036460,12,2,-341.91,99.55,412.17,41.77,-166.89,8284.17,181.48,381.02,8344.95,436.05,8751.41,87.26,459.05,389.73,8451.3,451.49,8945.53,99.88,430.7
A001300,12,2,72.47,40.53,64.27,68.31,40.41,3345.57,259.09,256.2,3408.03,344.79,3689.18,80.35,80.02,257.39,3408.02,350.78,3715.82,82.86,79.09
A042660,12,2,260.45,39.5,87.92,138.88,56.56,4767.41,686.44,389.37,4861.14,484.61,5258.83,97.14,103.97,382.23,4836,482.63,5228.55,92.18,106.46
A034020,12,2,-82.72,61.78,85.55,127.35,38.87,4899.55,274.78,375.9,5007.55,480.53,5427.55,108.48,98.74,343.55,5045.9,523,5606.4,105.25,104.43
A034730,12,2,172.91,-3.53,137.82,41.06,84.21,2206.01,438.25,459.21,2621.87,543.59,3132.38,165.41,113.68,467.1,NA,562.75,NA,203.55,132.9
A068270,12,0,41.95,46.5,41.55,40.67,37.99,999.76,167.81,176.82,1081.6,250.17,1314.39,59.82,47.03,176.58,1083.05,234.05,1280.48,57.13,47.62
A004940,12,2,117.03,206.93,313.9,157.93,125.49,9091.94,1654.75,744.52,9251.75,746.23,9858.98,142,182.47,731.81,9164.78,784.96,9858.81,107.11,214.29
A011210,12,2,60.59,63.25,89.86,94.55,106.31,1720.21,237.76,408.46,1849.09,474.63,2313.55,119.51,106.78,409.28,1840.92,466.47,2290.8,117.92,97.65
A029780,12,2,81.17,81.06,508.74,182.15,61.57,6228.98,375.17,817.39,6143.14,323.31,6284.27,68.03,79.94,812.19,6288.7,301.97,6200.82,59.72,NA
A097950,12,2,25.96,122.47,89.85,32.52,84.41,3008.83,301.49,293.32,3038.85,379.43,3404.72,81.6,92.92,286.11,3013.06,368.59,3359.72,66.71,86.94
A047050,12,2,65.58,54.81,7.85,96.27,130.87,2220.78,212.94,260.2,2325.3,281.67,2584.11,31.62,47.55,267.89,2378.81,252.28,2591.38,37.26,40.91
A047040,12,2,7.77,16.37,30.91,69.07,42.87,3450.56,177.07,225.81,3528.02,371.58,3850.15,81.59,76.15,208.2,3551.5,317.37,3860.5,NA,NA
A016360,3,2,46.54,2.93,57.75,28.96,59.26,3290.87,171.53,205.14,3419.59,275.2,3652.39,47.7,65.84,205.14,3419.59,275.2,3652.39,47.7,65.84
A011780,12,2,90.02,40.41,101.63,8.87,40.56,1540.17,505.63,190.34,1577.55,374.24,1898.1,43.57,80.65,177.37,1571.71,357.4,1886.51,29.63,65.89
A069960,12,2,101.75,58.49,93.36,89.48,59.1,2672.77,346.41,329.79,2764.76,364.83,3131.11,84.97,98.49,330.75,2768.12,361.42,3132.71,84.57,98.58
A010060,12,2,150.65,36.27,48.19,47.77,-5.2,3330.59,768.07,122.63,3393.75,208.81,3562.6,19.09,38.85,126.3,3414.42,220.33,3576.49,7.99,34.48
A010520,12,2,71.4,59.5,93.76,70.88,80.68,1847.09,296.67,333.54,1934.21,394.78,2306.21,90.62,87.99,331.27,1936.72,400.33,2315.3,88.21,89.3
A006800,3,2,24.05,25.66,81.19,24.44,51.53,4011.8,166.92,191.17,4099.16,248.21,4301.23,52.11,61.26,190.86,4123.84,270.76,4387.38,56.15,77.3
A002790,12,2,34.25,31.38,60.18,43.3,36.67,1972.33,148.5,163.37,2205.56,198.49,2625.34,57.7,NA,163.37,2205.56,198.49,2625.34,NA,NA
A036570,12,0,45.62,27.18,28.33,14.25,32.68,1049.17,120.68,137.46,984.9,276.95,1237.47,83.26,51.57,132.22,995.22,251.29,1230.4,60.47,57.88
A011200,12,2,-5.26,-314.16,-265.94,-187.86,-118.3,1133.77,-524.5,-569.05,1167.13,-49.96,1117.9,-32.84,-88.94,-634.2,1221.65,-86.09,1102.62,-39.3,-56.95
A001040,12,2,37.15,224.49,23.24,34.23,155.31,3208.93,369.05,269.87,3318.1,359.25,3662.07,97.62,94.03,266.51,3343.53,372.44,3720.48,76.23,97.03
A005830,3,2,74.14,102.64,87.56,110.78,147.9,2662.77,396.16,465.49,2698.97,504.13,3116.46,113.35,108.45,459.83,2715.8,492.49,3130.68,109,98
A003490,12,2,-540.52,56.13,-62.57,-170.71,338.28,2559.94,-218.82,219.92,2640.01,423.55,3037.2,113.45,20.19,202.56,2623.12,468.25,3088.3,93.48,21.05
A012450,12,2,41,14.71,34.87,41.59,33.99,1588.79,229.47,162.48,1717.1,213.52,1903.29,48.24,40.57,194.66,1656.6,213.45,1843.48,92.9,28.07
A032640,12,2,56.49,-64.19,22.05,-32.05,-38.36,3728.48,84.63,-41.8,3656.7,351.27,3963.9,4.63,90.19,-57.54,3815.52,361.26,4136.6,-23.33,64.17
A021240,12,0,49.18,47.1,41.23,44.02,12.91,770.95,167.05,165.4,827.69,221.11,975.83,54.16,61.23,168.03,810.65,232.4,1005.55,57.22,70.07
A002380,12,2,206.63,-108.22,578.17,3.75,20.22,5099.74,325.77,661.66,5352.2,228.6,5479.42,53.13,52.63,678.11,5557.54,256.26,5697.23,76.84,61.19
A001450,3,2,98.13,88.43,87.26,127.57,95.94,2043.55,411.52,419.21,2155.88,462.46,2502.29,103.61,101.68,403.5,2203.33,443.24,2541.67,87,82
A006260,12,2,-95.18,73.31,62.7,59.58,28.75,2333.19,117.64,236.83,2454.2,320.91,2750.8,94.82,69.73,230.97,2440.59,322.58,2734.84,114.83,65.25
A000210,12,2,118.39,4.61,127.06,34.72,117.94,4681.13,365.67,408.88,4842.24,456.54,5274.88,135.14,98.24,402.29,4714.91,453.97,5127.32,140.7,89.21
A042670,12,2,3.58,-11.05,68.76,181.68,23.49,2080.65,298.22,292.82,2156.91,254.05,2424.79,17.01,58.56,279.99,2095.95,216.24,2326.59,0.45,45.05
A006360,12,2,89.49,75.25,73.22,72.1,36.68,3760.72,423.68,264.17,3878.83,343.48,4134.01,73.27,78.25,259.02,3876,321.96,4214.5,62.61,53.33
A000150,12,2,-0.4,70.8,38.95,80.73,20.89,3218.53,305.19,241.95,3312.09,341.14,3580.7,89.5,81.41,236.57,3319.65,320.85,3570.14,127.15,93.67
A051600,12,1,14.12,45.29,27.52,36.8,20.52,496.69,104.66,120.77,528.65,139.35,583.7,35.11,29.17,123,514.4,140.37,562.83,41.63,32.38
A018880,12,2,29.38,38.55,63.04,50.11,47.28,1343.89,223.23,236.67,1405.7,272.5,1599.22,79.14,67.63,241,1409.43,276.75,1611.04,65.5,64.75
A047810,12,0,19.17,19.19,16.13,44.07,18.29,906.07,73.42,135.06,957.84,170.48,1113.47,51.5,43.59,NA,NA,NA,NA,NA,NA
A000880,12,2,54.95,-75.64,87.36,72.73,89.69,4942.79,134.53,316.37,4946.33,364.42,5238.33,57.39,96.35,320.04,4960,374.9,5276,55.53,96.35
A004800,12,2,-104.69,-86.35,33.66,2.18,74.33,2988.62,-44.99,149.32,3056.07,270.67,3293.32,46.29,56,150,2987,247,3201,36.06,34.88
A009830,12,2,64.05,-107.86,34.69,-12.73,41.29,4146.6,253.55,90.17,4168.53,212.12,4321.88,24.95,47.71,67.78,4142.14,202.93,4230.06,26.23,26.57
A138930,12,2,95.18,79.26,109.65,86.36,113.06,3211.48,400.3,384.7,3060.24,391.03,3357.11,78.64,104.87,381.19,3275.59,390.75,3597.05,74.48,108.5
A052690,12,1,36.9,25.59,42.63,21.95,28.87,382.04,116.1,128.2,401.75,160.86,461.38,35.53,38.92,127.45,417.5,165.95,466,34.74,42.76
A012750,12,2,30.21,32.01,31.7,25.46,21.43,773.31,126.3,109.21,802.29,135.94,896.17,30.83,32.26,107.35,800.38,130.6,890.58,28.24,30.84
A010620,12,2,58.51,-84.46,43.52,25.31,32.87,3249.64,199.84,128.94,3348.46,154.93,3533.26,25.56,48.88,117.91,3283.27,119.97,3379.14,18.85,52.1
A030000,12,2,21.36,34.67,9.37,29.45,21.05,727.89,93.31,99.39,770.98,123.78,885.11,38.69,16.08,95.4,758.86,126.99,882.63,35.54,15.29
A060980,12,2,58.81,47.46,58.96,49.88,24.7,1484.76,224.16,205.11,1544.13,276.47,1802.37,66.66,66.57,207.91,1560.41,278.02,1845.3,71.86,71.12
A005940,3,2,26.93,36.22,67.2,19.34,34.36,3442.77,166.08,156.17,3537.58,239.42,3735.68,45.77,58.11,154.75,3538.23,246.88,3736.6,47.63,60.11
A000120,12,2,17.89,38.59,28.08,22.77,26.91,2301.22,84.47,104.78,2340.78,125.7,2460.8,26.59,29.42,100.65,2299.43,127.09,2414.29,27.81,30.27
A071050,3,2,57.55,70.85,39.31,15.72,26.14,2490.69,270.85,189.23,2643.07,265.6,2847.94,62.77,66.27,185.73,2599.92,252.51,2780.99,73.95,69.8
A004990,12,2,18.36,11.86,40.34,6.47,55.53,2585.76,97.68,104.42,2628.46,109.21,2737.85,-13.49,45.74,104.42,2628.46,109.21,2737.85,-13.49,45.74
A007070,12,2,43.19,18.92,15.85,33.41,49.81,1506.26,93.56,130.87,1535.43,157.63,1671.18,29.58,18.37,129.43,1530.45,153.74,1659.79,28.92,17.43
A004170,12,2,18.72,58.23,47.12,49.82,16.03,2177.31,3501.55,178.97,2166.72,191.04,2364,61.78,47.04,180.59,2164.27,191.1,2365.94,61.04,47.98
A010120,12,2,6.7,27.04,21.15,32.53,35.8,844,70.38,129.94,885.35,160.03,1027.45,45.32,33.75,127.58,876.13,157.47,1014.34,46.07,29.54
A001740,12,2,5.56,56.05,19.84,19.53,18.97,3137.02,145.78,127.4,3307.59,194.64,3457.48,61.29,31.64,111.18,3238.48,192.79,3354.63,55.86,36.93
A000080,12,2,20.79,-12.12,17.61,53.59,29.78,1433.34,70.14,104.88,1444.12,145.01,1529.12,3.86,32.85,103.07,1431.13,134.8,1517.42,2.38,31.63
A000670,12,0,-1.51,-9.84,47.68,25.46,17.83,1516.13,231.97,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A139130,12,2,72.94,46.45,86.79,71.97,78.98,2493.45,205.09,289.71,2532.4,292.84,2771.12,55.18,77.5,289.56,2535.89,296.59,2763.87,52.47,84.06
A001120,12,2,43.73,63.48,66.69,31.34,31.65,1500.37,247.78,215.78,1557.65,224.49,1774.47,69.01,55.1,243.68,1538.21,213.25,1722.38,114.19,63.27
A000100,12,0,17.54,16.1,27,2.56,11.97,1097.18,94.22,68.61,1137.07,94.22,1223.78,25.85,28.62,67.63,1137.8,99.5,1220.5,NA,NA
A008770,12,0,16.49,22.16,20.99,39.01,24.71,674.84,56.12,114.55,696.37,128.67,803.36,28.6,23.57,112.33,695.41,115.52,792.65,27.88,18.67
A114090,12,1,30.87,17.52,35.31,24.34,28.39,278.62,63.3,140.34,308.14,142.32,385.83,44.23,33.04,147.54,316.27,143.15,391.96,59.59,35.67
A073240,12,2,-1.31,-26.74,7.86,71.7,21.59,747.56,-33.56,173,788,227,1015,54,55,NA,NA,NA,NA,NA,NA
A005300,12,2,32.61,-13.1,21.28,28.43,26.05,2203.72,76.91,94.69,2227.79,109.7,2339.59,11.59,23.2,92.81,2219.81,104.51,2321.78,12.24,25.59
A035760,12,0,20.75,18.89,24.55,22.79,54.15,448.95,112.46,121.4,464.96,112.79,567.73,27.42,28.13,125.34,469.55,113.05,571.37,26.3,27.74
A005440,12,0,9.6,8.13,18.68,12.79,10.82,1183.13,84.58,79.5,1228.96,94.49,1334.02,26.26,23.16,87.5,NA,103.1,NA,NA,NA
A011070,12,2,-35.55,-93.3,-2.43,4.46,3.57,1314.5,-145.36,6.73,1329.17,98.5,1426.29,-2.66,11.89,5,1323.44,91.5,1404.7,-4.5,12.02
A002350,12,2,16.9,18.28,41.35,30.47,41.06,664.63,87.77,145.94,714.03,175.6,871.64,33.29,43.28,141.86,700.73,181.34,875.3,29.6,41.05
A004000,12,2,22.77,6.19,20.7,26.87,15.92,1140.6,73.43,90.76,1160.52,108.72,1251.84,23.47,26.71,95.7,NA,122.5,NA,26.4,29.47
A012630,12,2,60.26,90.83,26.99,0.42,6.79,2394.49,221.74,71,2425.25,175.23,2544.81,32.88,32.62,NA,NA,NA,NA,NA,NA
A004370,12,0,19.47,7.38,-80.6,16.69,31.16,1423.66,84.78,0.19,1454.98,120.04,1549.44,33.2,23.77,3.56,1453.07,118.91,1544.63,36.5,29.32
A057050,12,1,29.96,35.53,41.66,44.83,34.92,985.82,151.91,152.01,994.42,169.35,1151.79,33.97,47.09,148.32,989.93,172.17,1148.95,27.47,48.02
A053210,12,0,9.35,6.38,14.82,12.67,16.81,332.27,26.97,56.57,346.11,99.71,445.21,13.89,20.16,56.63,345.88,107.31,456.75,13.84,23.05
A011790,12,2,25.45,8.04,23.68,30.92,29.58,1189.02,126.01,126.28,1235.86,180.84,1404.87,38.83,42.57,92.2,NA,153.2,NA,32.7,33.53
A120110,12,2,87.25,55.06,71.84,54.95,22.8,1767.86,323.14,211.27,1887.97,238.89,2099.47,55.65,62.02,215.1,1916.26,249.32,2148.45,58.62,67.76
A034230,12,0,-12.4,7.01,20.75,19.54,22.46,606.52,32.57,79.38,618.84,102.87,700.48,16.72,26.03,76.47,610.01,101.19,685.12,9.68,24.98
A071840,12,2,48.27,24.96,11.77,13.4,39.56,1471.87,140.72,89.32,1495.67,142.12,1617.22,25.73,20.77,87.9,1495.83,140.59,1616.87,20.06,20.29
A002550,3,2,23.04,48.96,63.51,74.82,61.78,1486.08,213.57,259.26,2574.18,287.67,3067.47,62.27,71.03,256.19,1606,289.46,1874.5,54.46,68.18
A117930,12,2,-90.25,-325.74,-340.95,-5.64,-50.87,1528.87,-835.44,-467.9,1506.94,-34.9,1444.35,-89.06,-76.53,-478.55,1459.04,-3.15,1398.61,-87.55,-75.35
A046890,12,0,18.36,-10.89,3.09,5.98,1.92,612.49,16.91,22.75,623.02,53.39,665.42,6.88,8.48,17.9,619.81,50.2,662.66,6.9,NA
A003450,3,2,3.74,38.85,3.03,-9.48,15.66,2996.72,136.71,62.6,3057.23,155.77,3198.85,19.45,37.76,62,3081.64,158.25,3270.96,13.98,35
A111770,12,2,52.78,13.89,14.83,46.19,54.31,652.81,117.09,136.96,671.95,151.89,810.7,22.06,19.31,136.98,666.08,150.79,803.49,20.93,15.6
A115390,12,2,16.12,13.89,17.75,16.13,17.2,589.77,50.6,62.98,594.79,81.41,669.61,14.14,19.22,63,604,79,659.5,12.98,16.34
A006280,12,2,33.21,-1.01,15.81,11.37,32.62,667.85,55.37,68.24,624.24,82.26,683.55,11.31,16.84,61.57,665.9,75.73,726,NA,NA
A039490,3,2,29.82,42.48,27.84,8.38,23.31,817.69,126.97,90.06,867.46,128.93,975.96,26.33,32.4,101.5,864,129.6,983,26,30.5
A000060,3,2,39.32,40.37,32.7,41.1,36.86,1040.87,177.47,174.32,1089.83,208.18,1247,43.3,48.57,165.28,1110.53,201.7,1267.44,34,44
A033630,12,2,0.63,-8.11,0.96,3.26,6.4,1102.59,-14.18,23.53,1134.95,77.93,1211,10.75,11.36,23.74,1115.97,82.31,1196.65,13.89,9.15
A037620,3,2,29.22,16.78,27.49,11.05,41.11,2026.94,102.5,111.17,2088.45,143.19,2217.3,29.1,31.85,113.79,2067.5,154.21,2224.26,34.5,38.79
A035720,12,2,32.77,11.01,21.19,22.29,19.28,505.28,108.48,87.05,526.02,103.55,607.82,23.36,23.69,85.6,526.4,97.86,600.68,24.29,24.01
A003690,3,2,52.67,-14.1,-68.51,20.97,33.19,1332.99,41.95,157.07,1436.23,192.28,1592.92,51.23,48.45,164.3,1408.6,206.3,1588.16,52.73,56.3
A006120,12,2,17.58,-4.24,60.06,25.86,38.57,1341.41,153.71,164.01,1378.27,177.22,1545.42,69.57,29.26,NA,NA,NA,NA,NA,NA
A020560,12,2,-35,-66.62,-2.23,-37.72,79.84,978.62,-30.86,54.26,951.51,138.1,1078.21,18.95,16.84,49.61,946.89,128.97,1056.06,10.34,7.98
A064420,12,2,59.25,-4.39,40.56,1.89,-0.58,1314.77,290.42,74.65,1349.91,106.13,1433.35,23.43,16.25,NA,NA,NA,NA,NA,NA
A000640,12,0,21.39,-2.07,16.4,8.64,20.35,726.28,69.22,57.31,764.64,70.66,823.18,14.6,15.6,60.03,785.1,73.76,849.13,18.67,14.25
A017800,12,2,-83.94,-48.57,13.41,-137.84,8.21,464.89,-261.28,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
A082640,3,2,-12.45,31.58,44.23,31.18,37.02,1208.02,97.19,136.31,1268.05,154.38,1382.78,35.58,31.36,NA,NA,NA,NA,NA,NA
