,EMPRGBCI Index,OUTFGAF Index,CONCCONF Index,CONSSENT Index,CHPMINDX Index,USHBMIDX Index,NAPMPMI Index,NHSLTOT Index,USURTOT Index,NHSPSTOT Index,ETSLTOTL Index,NAPMNMI Index,NHSPATOT Index,SAARTOTL Index,NFP TCH Index,ADP CHNG Index,CPI CHNG Index,DGNOCHNG Index,IP CHNG Index,PPI CHNG Index,LEI CHNG Index,PITLCHNG Index,PCE CRCH Index,IMP1CHNG Index,CPUPXCHG Index,USPHTMOM Index,DGNOXTCH Index,PXFECHNG Index,RSTAXMOM Index,ETSLMOM Index,TMNOCHNG Index,CNSTTMOM Index
2012-04-30,6.4,6.5,68.7,76.4,56.2,24,54.1,358,8.1,747,4.53,53.7,723,14.1,112,152,0,-0.3,0.75,-0.2,-0.2,0,0.2,-0.1,0.2,-3.34,-0.7,0.1,-0.8,1.57,-0.7,0.9
2012-05-31,14.52,-4.9,64.4,79.3,54.5,28,52.5,369,8.2,706,4.59,54.1,784,13.9,125,99,-0.1,1.5,0.26,-0.6,0.4,0.1,-0.2,-1.5,0.2,4.89,0.7,0.1,-0.3,1.32,0.5,1.7
2012-06-29,4.15,-12.8,62.7,73.2,53.8,29,50.2,360,8.2,754,4.41,52.7,760,14.3,87,88,0.1,1.6,0.03,0.1,-0.6,0.3,0,-2.3,0.2,-0.18,-2.2,0.2,-0.8,-3.92,-0.5,0.8
2012-07-31,7.08,-9.1,65.4,72.3,54.6,35,50.5,366,8.2,728,4.6,52.9,811,14.05,153,128,0,3.3,0.44,0.4,0.4,0.2,0.4,-0.7,0.1,2.61,-1.4,0.5,0.9,4.31,2.6,0.2
2012-08-31,-3.78,-1.7,61.3,74.3,54.1,37,50.7,367,8.1,750,4.84,54.3,801,14.46,165,73,0.5,-13.1,-0.79,1,-0.4,0.1,0.3,1.2,0.1,-0.8,-2,0,0.8,5.22,-5.1,1.1
2012-09-28,-7.54,1.4,68.4,78.3,50.9,40,51.6,379,7.8,843,4.78,55.2,890,14.88,138,104,0.5,9.1,0.18,1,0.5,0.4,0.8,1,0.2,0.98,1.7,0.1,1.1,-1.24,4.5,0.7
2012-10-31,-6.75,4.2,73.1,82.6,50.7,41,51.7,364,7.9,889,4.83,54.8,868,14.22,160,148,0.2,1.1,-0.12,-0.2,0.2,0,0,0.3,0.2,0.94,1.8,0,0.2,1.05,0.8,1.6
2012-11-30,-4.31,-8.9,71.5,82.7,50.2,45,49.9,394,7.8,841,4.96,54.8,900,15.46,247,276,-0.2,0.6,1.23,-0.5,0,1.1,0.3,-0.7,0.1,-0.44,1.2,0.1,0,2.69,-0.3,1.9
2012-12-31,-7.3,4.6,66.7,72.9,50,47,50.2,390,7.8,982,4.9,55.7,909,15.3,219,209,0,3.6,0.08,-0.2,0.4,2.6,0.2,-0.6,0.1,-1.95,0.8,0.1,0.3,-1.21,1.3,0.1
2013-01-31,-7.78,-5.8,58.4,73.8,55.6,47,53.1,445,7.9,902,4.94,55.2,904,15.23,148,177,0,-3.7,-0.08,0.2,0.5,-3.6,0.3,0.5,0.3,3.85,3,0.2,0.1,0.82,-1,-2.1
2013-02-28,10.04,-12.5,68,77.6,56.8,46,54.2,411,7.7,968,4.95,56,939,15.33,268,237,0.7,4.3,1.06,0.7,0.5,1.1,0.7,0.6,0.2,-1.05,-1.7,0.2,1,0.2,3,1.2
2013-03-29,9.24,2,59.7,78.6,52.4,44,51.3,417,7.6,1036,4.92,54.4,907,15.22,88,158,-0.2,-5.7,0.41,-0.6,-0.1,0.2,0.2,-0.5,0.1,1.54,-1.4,0.2,-0.4,-0.61,,
2013-04-30,3.05,1.3,,76.4,,42,,,,,,,,,,,,,,,,,,,,,,,,,,
