Code,Name,Mkt Cap,Float Rate,WICS1,WICS2,WICS3,Jaebul,Last,YTD Max,YTD Min,YTD Avg,Ret1D,Ret1W,Ret1M,Ret3M,Ret6M,Ret12M,Turnover_1D,Turnover_5D,Turnover_20D,Turnover_52W,Inst_1D,Inst_5D,Inst_20D,Inst_60D,Inst_120D,Inst_250D,Sec_1D,Sec_5D,Sec_20D,Sec_60D,Sec_120D,Sec_250D,Fund_1D,Fund_5D,Fund_20D,Fund_60D,Fund_120D,Fund_250D,Pension_1D,Pension_5D,Pension_20D,Pension_60D,Pension_120D,Pension_250D,Others_1D,Others_5D,Others_20D,Others_60D,Others_120D,Others_250D,Foreign_1D,Foreign_5D,Foreign_20D,Foreign_60D,Foreign_120D,Foreign_250D
A000020,동화약품,168.7060788,0.6278,건강관리,제약과생물공학,제약,,6040,6800,4050,5337,0,0.0237,-0.0033,0.0117,0.1638,0.4768,709.070026,953.887712,868.192878,706.886933,1.47,98.79,77.84,162.07,161.72,184.95,1.47,57.87,69.64,95.25,94.61,92.63,0,0,-60.27,-1.42,-1.42,-1.71,0,0,0,0,0,0,134.77,318.25,1170.99,-156.33,-1603.44,-379.7,-7.19,14.34,903.35,2928.45,5216.34,8233.98
A000040,S&T모터스,58.95464123,0.6847,경기관련소비재,자동차와부품,자동차,,494,1120,455,642,0.0123,0,-0.0389,-0.1483,-0.2377,-0.256,2843.929148,149.849279,216.222966,2842.827342,0,0,-0.01,-0.03,5.92,-4.3,0,0,-0.01,-0.03,-0.06,0.37,0,0,0,0,0,-0.61,0,0,0,0,0,0,0,0,324.84,350.18,335.97,-36.26,2.66,41.68,27.03,-165.11,-349.65,-92.52
A000050,경방,186.368,0.4491,경기관련소비재,내구소비재와의류,"섬유,의류,신발,호화품",,89600,115256,70156,85522,-0.0208,0.0121,0.0121,0.0467,0.1699,0.1486,99.569437,122.59528,121.74348,99.357286,-11.89,-84.5,74.48,835.69,1178.29,305.81,-6.5,-64.52,-81.38,-82.41,-81.35,-93.85,-3.56,-12.4,-13.81,160.91,175.82,213.26,0,0,0,194.63,189.23,-405.67,-57.63,-225.17,-208.62,406.26,408.42,-599.77,25.43,181.43,451.12,202.1,1379.12,1969.74
A000060,메리츠화재,1368.305,0.4917,금융,보험,손해보험,,14150,16000,9910,12303,0,0.0217,0.0969,0.1186,0.2864,0.1891,3826.811342,4650.19177,5546.798865,3815.302706,1085.69,4849.65,-692.97,22318.89,30764.51,36317.44,173.89,885.02,751.7,4003.49,2775.28,942.44,557.38,-1057.51,-12333.62,-7827.46,-18086.25,-26745.66,96.71,1598.26,1595.21,264.47,12079.9,20133.82,-2.73,305.38,159.06,-30024.44,-29999.55,-29706.06,-619.37,-2874.57,4387.31,8484.86,19027.25,29233.73
A000070,삼양홀딩스,547.054787,0.4047,필수소비재,"식품,음료,담배",식품,,71000,92400,48300,66826,-0.0153,-0.0193,-0.0193,0.0741,0.4564,-0.1047,987.470447,538.20078,658.064235,992.58006,8.1,-109.79,-477.72,5814.53,5981.1,-6570.63,-7.76,83.25,415.8,267.85,-234.33,-3501.16,-27.19,-260.82,-960.06,-2523.95,-4563.23,-12478.82,144.02,158.28,210.68,7304.51,9982.46,16264.46,0.29,-66.3,-172.38,-1501.68,-977.13,-2337,-17.59,317.89,1366.44,573.3,3651.44,10611.06
A000080,하이트진로,2112.122506,0.3687,필수소비재,"식품,음료,담배",음료,하이트진로,30400,33700,19550,25327,-0.0033,-0.0082,0.005,0.2459,0.4107,0.167,4661.660605,8179.98351,6723.35143,4661.326547,819.17,5624.37,5890.41,113831.37,115917.78,98047.21,-310.4,1910.77,4705.8,21880.49,22630.17,21284.26,1407.33,2826.73,6669.72,80646.64,83031.34,83400.25,0,-452.54,-6413.65,-20402.86,-20186.7,-29736.29,0,-3915.41,-3780.8,138.54,-71.5,1108.94,-250.61,4753.44,788.85,-95988.73,-89587.24,-93462.33
A000100,유한양행,1929.390458,0.7556,건강관리,제약과생물공학,제약,,173000,195000,105000,137793,-0.0308,0.0058,0.0087,0.1307,0.3206,0.3516,5246.422924,6108.2388,7365.050275,5232.857575,484.5,5477.41,10288.84,93008.8,152204.57,243989.59,-116.6,2024.34,548.68,16806.68,21595.72,21679.96,1308.89,1861.22,5641.9,80954.69,112820.9,136902.08,-292.31,-700.59,3145.02,-3595.52,4960.86,22261.84,-5.29,112.42,-776.25,-806.96,-134.24,-821.72,-2070.85,-1076.83,-3242.71,-63511.03,-100496.17,-165636.45
A000120,CJ대한통운,2292.640572,0.3606,산업재,운송,도로와철도운송,CJ,100500,122000,62100,88561,-0.0147,0.0425,-0.0519,0.0372,0.3224,0.3189,4480.852404,6898.72126,10665.34202,4468.67224,419.07,9792.49,37270.19,79550.16,170713.06,182486.05,-652.79,1495.64,664.96,-145.64,2111.82,3786.81,-92.83,-1020.27,7367.03,28060.47,52651.43,54480.04,1686.28,7625,23304.27,45174.88,76653.25,81514.05,6.79,-1769.2,-51214.4,-49544.78,-153678.69,-151935.68,-720.48,-2955.38,5781.9,-17016.39,13551.76,13748.42
A000140,하이트진로홀딩스,380.590946,0.2638,필수소비재,"식품,음료,담배",음료,하이트진로,16400,18100,8690,11423,0.0155,0.0031,0.0547,0.5922,0.7521,0.5256,574.077309,1940.71404,1079.50212,572.271272,-30.59,2936.51,3632.19,12979.45,13674.18,12711.36,0,9,12.91,782.91,779.93,772.08,9.61,2974.65,3558.16,7296.6,7287,7324.36,49.28,49.28,300.61,3841.48,3830.38,2789.3,0,10.2,-277.53,-5232.41,-7101.64,-8359.08,3.56,363.41,1301.95,1982.04,2389.59,4808.3
A000150,두산,2690.787909,0.3545,산업재,자본재,복합기업,두산,129000,173342,114574,136245,0,0.0662,0.0448,-0.0501,-0.003,-0.0802,12351.10591,41999.6937,18940.6789,12338.17731,9971.56,-24902.39,-49957.31,-65589.36,-43793.79,-15563.98,-6821.34,-17648.24,-8115.72,8073.23,1938.59,7364.87,2423.49,-8270.39,-23054.09,-38762.78,-45290.29,-61649.94,4698.96,12551.5,-4257.54,-16263.85,26648.99,56679.24,-442.62,-320.05,-2044.22,-2369.37,-579.09,764.72,-1768.11,20795.59,38359.12,63144.9,43628.91,51975.16
A000180,성창기업지주,107.4,0.6762,소재,소재,종이와목재,,17900,25750,14000,19011,0,0.0028,-0.1095,-0.1937,-0.1005,0.1854,1062.899347,337.18501,391.924033,1059.767805,0,0,-0.09,18.33,18.13,-4807.99,0,0,-0.09,38.44,37.92,35.97,0,0,0,-20.35,-20.35,-4211.76,0,0,0,0,0,0,0,0,-17.83,-120.27,-139.34,-2869.59,-14.08,8.79,-100.13,-1033.87,-1526.64,-2266.22
A000210,대림산업,3027.6,0.76,산업재,자본재,건설,대림,87000,131500,66900,96878,0.0296,0.0152,0.1615,-0.0832,-0.008,-0.0192,27815.99598,20089.0941,24797.95244,27761.13955,1695.79,-2031.58,64616.31,-59504.85,-43194.74,73099.81,-3716.79,-1916.35,-3433.59,-2562.06,-10605.04,-19680.83,-9.77,-10691.65,7674.77,-15156.51,-7981.48,-2635.78,2234.75,6356.85,38047.58,-28143.29,-15655.13,59162.31,7.9,3.7,-1273.78,-387.57,-9286.12,-9182.05,3734.35,10176.07,23654.73,739.76,64252.81,131230.17
A000220,유유제약,42.336327,0.3582,건강관리,제약과생물공학,제약,,7260,9950,4310,5748,0.0724,0.1017,0.2202,0.3297,0.3647,0.3395,514.140512,1011.349058,1823.380249,512.334303,0,0,-1.47,5.89,-1.48,-71.62,0,0,-1.47,5.89,2.09,-52.3,0,0,0,0,-3.57,-19.32,0,0,0,0,0,0,0,-1.09,-18.17,-19.82,-11.75,8,27.31,12.79,48.83,19.53,19.55,39.49
A000230,일동제약,298.3099735,0.6658,건강관리,제약과생물공학,제약,,11900,14700,6070,7481,0.0171,0.0673,0.4619,0.5515,0.874,0.593,761.48682,3203.20033,6612.827639,758.446333,0,6.2,-243.27,-200.4,-201.04,-16452.76,0,6.2,16.06,16.84,16.2,14.51,0,0,-259.15,-59.37,-59.37,-48.66,0,0,0,0,0,-215.63,-0.59,-28.57,-1269.65,-1069.35,-451.33,15364.09,-4.67,40.28,-118.82,-56.53,-382.37,-175.76
A000240,한국타이어월드와이드,560.634228,0.6628,경기관련소비재,자동차와부품,자동차부품,한국타이어,19800,48826,13550,36925,0.0128,0.0102,0.3655,-0.5194,-0.5572,-0.5582,27167.8294,8265.32617,13636.26235,27146.96199,2921.7,5175.32,15662.96,48907.97,81864.14,-253894.96,-27.24,438.7,1402.22,15718.46,40681.68,16664.71,429.5,2273.94,8446.31,29458.14,-39142.7,-214553.52,1971.31,2469.84,8936.36,8786.49,68759.68,12380.99,75.62,-117.94,132.91,-1852.97,11941.18,1146.55,-978.98,628.48,5757.98,-70180.39,-149128.02,233814.08
A000250,삼천당제약,55.4,0.575,건강관리,제약과생물공학,제약,,2770,3455,1865,2437,0,-0.0298,0.108,0.0863,0.3349,0.1688,1434.049049,2373.176638,4899.051345,1429.089702,0,54.89,49.08,146.13,143.25,153.81,0,54.89,49.08,80.67,80.67,80.67,0,0,0,-0.03,-0.03,-0.03,0,0,0,0,0,0,0,4.19,-242.55,-194.1,-229.93,-215.67,125.57,452.38,-616.99,255.58,-22.11,413.81
A000270,기아차,22903.02911,0.64,경기관련소비재,자동차와부품,자동차,현대자동차,56500,84800,54000,71209,-0.0122,-0.0225,-0.0456,-0.1859,-0.2396,-0.1465,122319.5265,94178.86549,109232.2656,122079.0614,-15801.09,-70641.16,-242635.5,-903670.15,-1751773.04,-1499050.55,-3.17,11444.55,7150.58,-59604.89,-99560.7,-87268.96,-7450.26,-35416.29,-67100.4,-417569.47,-804892.04,-546737.83,-4859.65,-25711.78,-86362.48,-228560.41,-429621.69,-476878.6,-90.26,-4744.24,-14726.06,-16388.6,-20653.65,-35569.36,-3031.72,19650.62,181273.47,310220.34,1022969.92,2182281.57
A000300,대유신소재,129.8357243,0.5931,경기관련소비재,자동차와부품,자동차부품,,1490,3953,1310,2173,0.0136,-0.1362,-0.23,-0.3134,-0.2569,-0.4613,14718.99575,5408.087608,4469.641964,14828.77441,0,1.76,20.79,-2814.1,-3526.04,-5802.51,0,1.76,20.79,-6.33,-754.53,-1063.56,0,0,0,0,0.16,-1974.64,0,0,0,0,0,0,0.3,0.74,-10.27,-608.62,-1482.83,-5411.94,-3.29,-224.9,-551.14,-1608.45,410.37,135.03
A000320,노루홀딩스,118.787499,0.2746,산업재,자본재,건축자재,,9000,10150,6490,7844,0,-0.0249,0.0067,0.0976,0.2278,0.3158,131.374609,88.2836,76.204303,130.892978,-1.17,-44.46,-80.9,-90.44,104.78,-928.94,-1.17,-43.92,-93.24,-107.25,30.57,-32.35,0,0,-13.76,-13.18,1.55,-192.34,0,0,26.62,38.09,110.06,110.06,0.45,-37.15,-104.35,-141.39,-145.98,-1135.65,0,-53.73,-95.03,146.7,-466.1,366.7
A000360,삼환기업,20.45776035,0.6722,산업재,자본재,건설,,1730,5990,1600,3465,0,0.0237,-0.1036,-0.3308,-0.5459,-0.5299,204.43079,404.229602,169.544755,207.473763,0,-228.76,-718.19,-718.35,-3416.11,-3402.78,0,0,-0.14,-0.3,-0.38,-0.74,0,-228.76,-718.05,-718.05,-1128.45,-1128.45,0,0,0,0,0,0,0,608.69,905.2,959.17,1323.71,1437.49,0,-6.33,-17.58,-157.83,-352.51,-563.68
A000370,한화손해보험,296.8199924,0.4234,금융,보험,손해보험,한화,6090,8350,5050,6788,0.005,-0.0674,-0.0098,-0.2018,0.041,-0.1781,643.447336,1509.532954,1729.796357,641.630204,125.32,-3428.12,-10272.03,-15649.72,-17424.85,-17064.33,0.06,5.51,-727.84,-6176.79,-5622.73,-5628.31,0.12,-267.74,-1858.7,-2422.91,-2233.87,-2266.75,0,0,-947.54,-456.2,-34.93,277.01,9.87,5181.31,11660.38,12342.75,11977.5,8357.44,-19.62,-93.56,-89.26,971.27,5709.25,6836.72
A000390,삼화페인트,97.44,0.6196,산업재,자본재,건축자재,,4350,4600,3305,4010,0.0187,-0.0203,0.0235,-0.0203,0.0741,0.2645,96.087571,125.082942,100.956038,95.789303,0,-9.08,-745.6,-3062.43,-3333.64,-3647.65,0,-0.01,-0.09,-0.2,-0.28,-3.24,0,0,-8.82,-8.82,-8.82,35.85,0,0,0,0,0,0,0,-3.95,-6.14,-4.56,-11.44,-282.57,228.97,276.5,1081.56,3397.37,3263.18,3185.74
A000400,롯데손해보험,209.5772,0.43,금융,보험,손해보험,롯데,3115,5883,2920,4657,0.0147,0.0541,-0.1062,-0.2752,-0.3227,-0.3613,106.328994,1273.218959,396.989173,106.156683,124.86,187.35,77,108.67,112.45,49.59,-0.46,-13.2,-195.91,-194.61,-190.16,-222.94,0.06,0.03,0,-0.18,-0.85,-10.02,0,0,72.4,102.95,102.95,102.95,14.7,43.25,65.96,84.99,260.23,1179.12,-52.8,-1019.6,-1083.52,-1048.48,-1125.98,-1037.68
A000420,로케트전기,29.58592023,0.8138,IT,전자와 전기제품,전기제품,,8010,8740,4260,5956,-0.0697,-0.0012,0.0973,0.5315,0.6917,0.324,178.812893,372.459784,249.604554,178.266347,0,-0.03,-0.35,-1.81,-2.22,-4.41,0,-0.03,-0.35,-1.81,-2.22,-4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.08,-18.53,-21.91,-32.71,-31.85,-22.75,-42.56,-76.36,152.74,174.84,166.33
A000430,대원강업,535.06,0.6632,경기관련소비재,자동차와부품,자동차부품,,8630,9600,4105,6190,-0.0282,-0.0358,-0.0058,0.2673,0.6011,0.848,753.992392,573.611154,656.402313,751.569817,-265.9,85.92,58.23,-5765.92,-7436.12,-3945.89,-7.6,105.52,98.44,-523.86,-344.13,-378.43,-26.2,-112.48,-5.55,-6189.24,-6059.95,-4494.98,0,6.25,-223.77,342.81,-1148.12,286.15,17.61,213.17,1535,16965.88,19309.27,19416.9,16.56,14.08,832.2,-358.01,3212.05,6298.93
A000440,중앙에너비스,22.3553967,0.2929,에너지,에너지,석유와가스,,17950,24950,15600,17910,0,0.0436,0.0813,-0.1573,0.0436,0.0945,18.716412,1.84145,5.814043,18.693458,0,0,18.35,72.07,401.28,632.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.34,-1.32,90.5,117.11,196.73,0,0,0,0,-2.16,-2.16
A000480,조선내화,239.2,0.2092,소재,소재,비철금속,,59800,69900,58100,62805,-0.0066,-0.037,-0.0197,-0.0814,-0.0132,-0.0786,59.236431,202.35656,78.30922,59.121114,-0.35,-201.11,-212.72,15.77,-189.51,-785.62,-0.06,7.7,21.27,21.68,25.24,23.63,-1.08,-140.78,-145.88,7.76,-52.12,-279.77,0,0,0,128.93,5.1,-104.39,0,0,1.06,7.22,241.83,291.42,-6.16,306.42,400.29,311.84,1018.93,1450.7
A000490,대동공업,134.3016686,0.5897,산업재,자본재,기계,,5660,7640,3400,4980,0.0347,0.0462,0.1634,0.0822,0.132,0.57,530.98166,168.38264,180.063864,529.147657,0,-0.02,-0.05,-0.38,-1.62,-4.14,0,-0.02,-0.05,-0.12,-0.17,-0.74,0,0,0,-0.26,-1.45,-3.39,0,0,0,0,0,0,0,31,41.06,238.02,1473.35,5235.49,0.47,27.45,180.63,195.47,242.21,322.07
A000500,가온전선,91.9436687,0.5678,산업재,자본재,전기장비,LS,22100,23700,15200,20451,0.0184,0.0138,-0.0156,0.0425,-0.0391,0.4397,216.554487,362.77478,181.660895,215.739832,0,100.21,209.28,1314.11,1700.43,2588.84,0,0,-14.17,36.37,33.19,-39.26,0,0,-7.39,112.72,115.62,107.85,0,96.33,209.88,937.75,1472.72,2347.01,0,-1.97,2.11,113.79,-170.68,-26.71,61.69,299.04,412.92,-600.48,-157.62,146.78
A000520,삼일제약,24.6125,0.5555,건강관리,제약과생물공학,제약,,4475,5600,3940,4472,-0.0121,-0.0121,0.0299,-0.024,0.0809,0.0567,126.818434,27.912942,35.800283,126.446997,0,0,-0.04,-0.04,-0.04,-0.11,0,0,-0.04,-0.04,-0.04,-0.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.05,0.05,-1.04,0,-4.98,-11.19,7.09,4.12,1.08
A000540,흥국화재,317.6798795,0.2215,금융,보험,손해보험,태광,4945,6400,4280,5127,0.0071,0.001,-0.001,-0.0454,0.0521,-0.2213,85.819537,61.908822,55.005991,86.6563,0.1,0.04,-0.11,-0.76,-1.88,-151.34,0,-0.01,-0.11,-0.41,-0.71,-1.9,0.1,0.05,0,-0.35,-1.18,-40.6,0,0,0,0,0,0,0,0,0,0,-447.65,-2140.31,0,0,0,-0.05,10.95,25.05
A000590,CS홀딩스,38.8483193,0.1489,소재,소재,철강,,33650,48900,30750,34601,0.0212,0.0182,-0.0743,0.0306,0.0467,-0.0074,38.2631,9.19041,13.662548,38.269156,0,0,-0.49,7.01,6.69,2.97,0,0,-0.49,-1.92,-2.24,-5.96,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.99,1.15,4.84,10.16,0,0,0.33,0.33,-0.01,-44.05
A000640,동아제약,1213.715,0.603,건강관리,제약과생물공학,제약,,109000,119500,68600,91602,0.0187,-0.018,0.0283,0.0431,0.293,0.1913,3366.594136,4012.4387,2941.6401,3362.576952,1015.09,1660.74,503.52,-3457.3,-7814.92,-40050.85,-703.21,-248.32,-1473.13,1768.64,1533.74,2024.13,-93.79,-2285.89,-2619.43,-9465.55,-19204.28,-33794.31,734.37,322.89,1898.35,2130.86,6838.54,-4345.23,-0.77,184.56,549.72,11462.26,33319.07,60844.93,125.6,515.69,1653.92,3677.19,20232.36,12411.04
A000650,천일고속,38.660401,0.7292,산업재,운송,도로와철도운송,,27050,46800,24800,28813,-0.0305,-0.0252,-0.0339,-0.0092,0.0464,-0.0509,97.138736,4.6589,7.24052,96.75079,0,0,-0.32,-0.95,-1.1,-13.02,0,0,-0.32,-0.95,-1.1,-13.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-5.94,-1.59,-229.04,0,0,0,0,-1.07,9
A000660,SK하이닉스,17874.43378,0.7895,IT,반도체와반도체장비,반도체와반도체장비,SK,25750,30950,20100,25008,0,0.0138,0.0158,0.1319,0.1051,0.2175,148920.3638,96165.45842,118944.7565,148759.8264,-2353.64,-35587.6,18567.68,400139.51,58185.9,-122566.4,694.6,20916.32,33323.09,23213.46,103478.15,-11117,-342.2,-35640.28,-34183.58,75751.53,-193091.79,-127768.9,5114.36,13253.02,80436.71,231913.89,188933.66,275658.06,-1043.4,-1376.14,1130.08,2630.5,5613.43,6226.23,-6617.16,5340.8,41682.9,78353.94,215270.22,939513.27
A000670,영풍,2053.8746,0.1494,소재,소재,비철금속,영풍,1115000,1395000,783000,1039859,0.1007,0.0773,0.0721,-0.0062,0.243,0.0211,1135.95787,1909.5918,1047.27505,1133.193469,-706.72,-1934.28,-2267.58,-3259.68,-10112.06,-15157.39,73.15,609.05,43.5,2573.27,-13968.86,-9769.49,211.73,889.86,1327.3,3695.04,3648.97,6926.49,-882.44,-2106.54,-2398.64,-4031.71,2100.16,-7215.59,-53.52,-73.14,-99.77,277.17,3834.74,3717.99,1623.58,2133.34,3729.22,2175.61,6648.5,5590.45
A000680,LS네트웍스,330.293245,0.1472,경기관련소비재,내구소비재와의류,"섬유,의류,신발,호화품",LS,4270,5560,4035,4543,0.0012,-0.0023,0,-0.0707,-0.024,-0.0023,252.372236,53.096915,94.313755,251.528303,0.13,2.02,-11.97,-13.37,-393.19,-2242.03,0,1.93,0.52,0.06,-1.11,-806.24,0.13,0.09,-4.05,-3.13,-1.88,-83.39,0,0,0,0,0,0,0,-17.83,-17.83,-134.92,-828.82,-1382.13,-1.88,4.69,35.74,52.32,44.85,94.92
A000700,한진해운홀딩스,248.7321814,0.4107,산업재,운송,해운사,한진,5680,10250,4965,6755,-0.0018,-0.007,0.0717,-0.2111,-0.0486,-0.223,478.52008,131.13882,157.790476,477.710514,-14,11.47,-18.76,-2279.1,-90.07,-11694.94,-1.32,18.85,44.71,-5.27,-171.2,42.56,-11.28,-11.27,-49.83,105.33,-353.08,-5952.03,5.1,5.1,-2.82,-1885.01,463.39,-653.53,0,-0.67,-82.76,53.24,32.55,-361.6,-18.34,126.52,412.46,-356.4,-677.15,-4064.72
A000720,현대건설,7794.90355,0.6501,산업재,자본재,건설,현대자동차,70000,87500,55600,69252,0,-0.0057,0.0622,0.037,0.1364,0.0057,36707.566,22101.95632,29554.3342,36668.19016,-4695.13,-14111.99,-39214.41,-152269.58,-151811.45,-156611.33,2225.55,15322.85,5576.75,-9281.52,-5285.65,24098.79,-1469.28,-17775.48,-27193.1,-116818.21,-114598.44,-179487.91,-1573.49,-5783.7,-1654.26,-11588,15778.41,-12866.33,6.14,-264.63,-3027.3,3756.24,2489.17,-1136.53,1150.33,12926.73,156384.55,274614.29,382762.36,302689.93
A000760,이화산업,18.508,0.2969,소재,소재,화학,,6610,10900,5870,7925,-0.0265,0.0092,-0.1187,-0.1727,-0.2214,-0.0651,17.726119,2.4446,13.470012,17.660235,0,0,-0.1,-0.18,-0.44,-0.74,0,0,-0.1,-0.18,-0.44,-0.74,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.74,0.74,-0.15,0,0,0,-32.96,-32.96,3.18
A000800,경남기업,84.38870352,0.54,산업재,자본재,건설,,5340,10950,5000,7318,0.0038,-0.0481,-0.0378,-0.1232,-0.163,-0.2272,334.77179,208.7323,172.13592,334.194868,-0.05,-0.17,-0.38,-0.8,-1.35,-5.81,-0.05,-0.17,-0.38,-0.8,-1.35,-5.81,0,0,0,0,0,0,0,0,0,0,0,0,0,-0.17,38.75,22.05,31.35,-159.79,-4.88,14.67,104.03,-105.35,-252.94,1621.58
A000810,삼성화재,10327.71447,0.7504,금융,보험,손해보험,삼성,218000,244500,195500,218006,0.0046,-0.0224,0.0023,-0.0879,0.0093,0.0356,27798.41773,23774.56461,24630.12185,27880.66293,5589.04,19404.69,-9127,-25683.11,12701.95,-40419.85,-569.58,3543.9,3278,-8113.19,-12275.31,-1660.35,1340.53,-3840.17,-14333.82,-68265.94,-177487.25,-251117.22,3740.34,12857.2,5571.25,41874.24,-19809.66,-31682.08,90.83,344.72,-159.22,1210.12,-236.76,6821.21,-5766.55,-2701.46,12178.06,-2262,30850.4,134919.24
A000830,삼성물산,9779.232026,0.7991,산업재,자본재,건설,삼성,62600,82700,54900,67733,0.0081,0.0081,0.0521,-0.0515,-0.0173,-0.0671,46883.91929,28096.39174,35463.68222,46799.7422,3192.06,10590.2,39070.67,-167584.13,-259241.89,-422735.05,-1105.62,4441.2,9040.55,-28859.77,-31096.6,-19880.91,1560.68,-4985.31,7561.11,-93794.41,-202677.23,-322163.11,3769.04,17420.39,26955.49,18461.22,41750.9,-20296.38,-69.98,-9957.32,-11610.4,-7627.35,-7792.31,-66021.88,588.65,13207.37,31374.49,122396.9,288549.43,445221.47
A000850,화천기공,94.49,0.5114,산업재,자본재,기계,,42950,59700,40700,46103,0.0142,0.0287,0.0275,-0.0149,0.0035,-0.0272,237.636872,481.15216,173.260628,237.297062,59.44,79.86,141.09,703.53,-294.69,1713.43,0,0,56.48,2.21,-89.03,-133.31,31.57,-1569.86,-1509.8,-1381.22,-1728.17,-2062.74,0,-212.5,-97.04,166.67,130.08,105.98,0,-2.13,-4.64,714.78,405.2,-585.75,0,-2.99,-26.01,-146.75,38.41,188.27
A000860,건설화학,127.725,0.4814,산업재,자본재,건축자재,,19650,22000,14200,16812,-0.0025,-0.0126,-0.032,0.0565,0.2397,0.3459,140.115988,145.95514,151.566843,139.598805,-0.19,-99.07,-124,980.79,1283.74,405.72,0,1.87,52.11,377.45,266.3,264.54,-0.2,-59.2,-57.56,-61.69,135.15,-73.09,0,-28.99,-115.13,141.59,246.47,246.31,0,-10.91,-159.17,-21.45,741.93,1712.95,-16.77,-2.18,106.32,797.48,1063.08,1083.63
A000880,한화,2563.588737,0.561,소재,소재,화학,한화,34200,40500,25850,32046,-0.0073,-0.0144,0.105,-0.013,0.2459,0.024,8681.733152,5088.15618,6234.50347,8687.06669,448.97,-1954.85,-2463.07,-24638.38,14916.47,-61816.53,385.59,1577.61,-3247.31,3910.45,-4993.01,7518.82,91.65,-1349.31,2243.59,-5329.86,12951.54,-37258.05,0,-3429.19,-5470.9,-24066.13,4474.11,-42324.75,11.61,-294.96,752.92,-1712.1,-13477.14,-15462.28,-1113.94,2370.32,14588.55,43952.08,93349.81,125692.27
A000890,보해양조,33.24756112,0.3328,필수소비재,"식품,음료,담배",음료,,757,1495,719,881,0.004,0,-0.0156,-0.0734,-0.1368,-0.4351,312.966809,25.705213,27.835087,311.709914,0,0,0,-0.02,-0.03,-1.51,0,0,0,-0.02,-0.03,-1.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-37.51,0.02,-8.97,2.88,0,-3.87,-6.07,-80.77,-25.7,33.18
A000910,유니온,68.06665884,0.5237,산업재,자본재,건축자재,OCI,4360,7650,4005,5479,0.014,0,0.0595,-0.1534,-0.1648,-0.2817,731.711833,106.308936,145.068334,732.572152,0,-0.08,-36.19,-2247.37,-2108.26,1205.52,0,-0.08,-0.51,-1.64,-4.51,-82.2,0,0,0,0,0,8.08,0,0,-35.68,-2245.75,-2245.75,941.89,4.34,-38.94,223.73,184.03,-39.93,-628.28,13.91,30.18,35.76,-142.97,-120.18,-645.11
A000950,전방,42.084,0.5174,경기관련소비재,내구소비재와의류,"섬유,의류,신발,호화품",,25050,34900,22600,26211,0.0183,-0.006,0.0224,0.0224,0.0162,-0.1451,12.482016,0.1995,18.220918,12.431887,0,0,0,0,0,-0.54,0,0,0,0,0,-0.54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,324.49,593.83,1442.08,1789.31,0,0,0,0,0,0.29
A000970,한국주철관,82.309805,0.4651,소재,소재,철강,,3610,5690,3065,3640,0,0.0112,0.0906,-0.0309,0.0906,0.1442,664.115926,161.702082,95.516984,661.50409,0,31.94,29.77,-56.21,57.31,-95.88,0,-0.04,-0.1,-0.21,-0.39,-1.14,0,0,0,-33.66,-33.66,-33.66,0,31.98,31.98,45.09,45.09,45.09,0,15.7,41.76,344.47,1209.68,1720.8,-4.24,-26.86,-144.89,-256.61,-606.72,-1386.54
A000990,동부하이텍,280.8483766,0.5624,IT,반도체와반도체장비,반도체와반도체장비,동부,6330,11050,6000,7793,-0.0094,-0.0156,-0.0186,-0.1208,-0.1329,-0.1352,1999.893403,683.741582,645.934326,1997.850502,-21.64,-0.8,-292.17,-861.77,-6206.11,-2840.57,-1.77,23.19,69.1,102,-42.39,-434.22,-11.61,-17.99,-13.36,-124.97,-4230.59,2192.94,0,0,0.06,-9.48,-761.93,-1431.2,0,-43.3,-43.3,294.13,211.42,-5285.23,-117.32,191.75,1006.64,606.26,2103.88,2642.2
A001000,신라섬유,24.25326246,0.2646,경기관련소비재,내구소비재와의류,"섬유,의류,신발,호화품",,4995,7050,4230,5281,0.0111,0.004,-0.0128,-0.0935,0.004,0.0605,62.501766,16.217511,7.800389,62.264903,0,0,0,0,0,-1.35,0,0,0,0,0,-1.35,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2.29,0,0,0,0.01,11.35,11.56
A001020,페이퍼코리아,73.19992778,0.6159,소재,소재,종이와목재,,716,1085,442,740,-0.0069,0.1049,0.0273,-0.2141,-0.2518,0.4948,1255.70781,336.742798,304.367556,1250.73747,0.68,-107.93,-343.88,-333.46,473.2,1990.08,0.72,1.87,5.52,15.94,-74.93,-75.01,0,0,0,0,0,0.16,-0.04,-109.8,-349.4,-349.4,499.54,2016.88,0.19,-0.29,18.15,-556.28,-1061.5,-1655.3,0.01,-27.4,-29.47,-157.11,135.18,59.8
