Code,Name,Mkt Cap,Float Rate,WICS1,WICS2,WICS3,Jaebul,Last,YTD Max,YTD Min,YTD Avg,Ret1D,Ret1W,Ret1M,Ret3M,Ret6M,Ret12M,Turnover_1D,Turnover_5D,Turnover_20D,Turnover_52W,Inst_1D,Inst_5D,Inst_20D,Inst_60D,Inst_120D,Inst_250D,Sec_1D,Sec_5D,Sec_20D,Sec_60D,Sec_120D,Sec_250D,Fund_1D,Fund_5D,Fund_20D,Fund_60D,Fund_120D,Fund_250D,Pension_1D,Pension_5D,Pension_20D,Pension_60D,Pension_120D,Pension_250D,Others_1D,Others_5D,Others_20D,Others_60D,Others_120D,Others_250D,Foreign_1D,Foreign_5D,Foreign_20D,Foreign_60D,Foreign_120D,Foreign_250D
A039420,케이엘넷,49.5171965,0.7393,IT,소프트웨어와서비스,IT서비스,,2050,3850,1695,2572,0.0049,0.1081,0.0789,-0.2705,-0.2979,0.0149,1818.079139,2022.024206,899.125002,1811.484852,0,0,52.21,71.63,149.91,145.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.74,1.74,0.85,-1297.51,-8713.02,-47.57,-123.08,-189.55,29.32,-129.4,-123.91
A039440,에스티아이,26.88854745,0.7134,IT,반도체와반도체장비,반도체와반도체장비,,2235,3075,1775,2305,0.0022,0.0229,0.0745,-0.0878,-0.0449,0.0643,286.120051,69.935311,100.056929,285.278096,0,0,0,0,-14.91,-14.91,0,0,0,0,-14.91,-14.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3.37,21.9,-281.05,53.94,5.24,6.96,-3.89,-76.31,-45.62,5.32
A039490,키움증권,1301.674686,0.519,금융,증권,증권,,58900,76000,51800,62582,-0.0067,-0.0621,-0.0392,-0.0994,0.0068,0.103,2793.522876,2496.61316,1695.267475,2785.792422,-2490.61,-6141.91,-6152.56,-16732.08,-843.27,-2509.51,0,-271.11,-735.89,-1943.53,-2785.13,-3626.71,-222.48,-2325.34,-4213.29,-3706.87,-22710.21,-39224.28,-792.48,-1027.73,1343.39,-5547.96,3247.57,11241.18,0,83.42,405.51,1430.11,3153.2,-5508.56,1166.92,1793.78,2841.99,7444.52,-8371.09,8849.25
A039530,씨앤케이인터,359.4057282,0.9244,소재,소재,비철금속,,6700,12750,1160,4997,0.072,0.0276,0.0984,0.1204,-0.2071,-0.2118,6917.408636,2775.053894,1995.527253,6900.465404,-2357.9,-2830.88,-3652.7,-3652.7,-3652.61,-3682.92,0,0,0,0,0,-10.41,0,0,0,0,0,-1.2,0,0,0,0,0,0,115.04,-180.89,-45.32,-68.47,348.84,452.19,2.72,25.78,2666.35,3491.82,3897.49,-6112.61
A039560,다산네트웍스,85.63628781,0.694,IT,기술하드웨어와장비,통신장비,,4635,7230,4240,5458,0.0087,0.0142,0.0076,-0.1679,-0.057,-0.1,1112.535692,206.503186,232.655264,1108.905016,0,0,0,-552.36,-2353.9,-8011.12,0,0,0,-419.6,-528.77,-530.97,0,0,0,-139.11,-961.87,-1718.21,0,0,0,0,-763.5,-4316.14,0,0,-32.96,10.94,-216.18,-510.07,7.24,5.92,37.87,274.63,862.01,2804.67
A039610,화성,30.94,0.4058,산업재,자본재,기계,,4250,7420,3805,4636,0.0192,0.0095,0.087,-0.0919,0.0417,-0.0252,803.903302,579.868688,210.941098,802.347491,0,0,0,0,0,-78.51,0,0,0,0,0,0,0,0,0,0,0,-78.51,0,0,0,0,0,0,0,0,-27.13,-3.56,-42.62,-119.55,-1.86,-33.83,-1.14,-121.45,-145.72,-152.04
A039670,스포츠서울,35.3076571,0.8912,산업재,자본재,건설,,537,1930,518,769,0.0019,-0.0307,-0.0579,-0.1211,-0.6841,-0.283,3238.182369,480.179259,525.927335,3226.649858,0,0,0,0,0,-107.09,0,0,0,0,0,-107.09,0,0,0,0,0,0,0,0,0,0,0,0,0,14.12,41.9,159.24,-2558.05,-7087.39,24.28,21.13,-1.63,-281.64,-921.14,-233.71
A039740,한국정보공학,23.49390321,0.4822,IT,기술하드웨어와장비,전자장비와기기,,2930,9470,2485,4435,0.0086,0.0892,0.0191,-0.443,-0.5561,0.1226,2822.01603,864.648646,481.851607,2810.703949,0,0,0,0,155.66,73.16,0,0,0,0,0,-65.16,0,0,0,0,0,-0.17,0,0,0,0,0,0,0,0,0,1.37,7.35,0.49,4.48,-78.6,-10.65,-611.92,866.24,869.11
A039790,위노바,32.41352436,0.7334,건강관리,건강관리장비와서비스,건강관리장비와용품,,1085,6670,999,2513,-0.0136,0.0236,-0.5323,-0.5178,-0.4784,-0.472,8042.62782,1974.874731,3834.18389,8018.774997,0,0,0,-2512.79,-4723.06,-4715.28,0,0,0,-0.93,-0.93,6.29,0,0,0,0,0,-0.14,0,0,0,0,0,0,26.26,82.91,-1330.53,-3079.8,-7433.81,-9462.06,45.15,13.81,-21.75,32.16,48.99,-1529.33
A039830,오로라,55.967028,0.5127,경기관련소비재,내구소비재와의류,레저용장비와제품,,5200,7800,3160,5107,0,0.0156,-0.0988,0.0297,0.3613,-0.2529,2248.743881,1000.16301,1196.228859,2390.171973,0,-46.19,-115.63,42.65,1753.62,2353.19,0,-33,-33,28.5,28.5,28.95,0,0,-15.63,12.15,1423.63,1805.36,0,0,0,0,0,0,0,-13.78,40.22,127.21,206.55,136.65,17.91,58.76,54.72,-18.6,-236.12,-486.42
A039840,디오,123.3865211,0.7867,건강관리,건강관리장비와서비스,건강관리장비와용품,,10350,21300,6650,10790,0.0392,0.1802,-0.0417,-0.2038,0.0604,0.5311,8942.64974,3024.87327,2487.493556,8907.420996,0,0,-28.87,-17.36,92.67,-30.49,0,0,0,-35,86.71,-28.7,0,0,0,0,0,295.77,0,0,0,0,0,0,0,-44.94,-20.68,-247.98,-151.18,-11752.14,-93.62,-101.04,387.5,1006.65,515.27,927.5
A039850,태창파로스,17.69314301,0.7747,필수소비재,식품과기본식료품소매,식품과기본식료품소매,,477,2880,436,1306,0.0214,0,-0.3519,-0.406,-0.5816,-0.6531,1150.148671,139.915549,213.574251,1155.548263,0,0,0,0,0,-934.98,0,0,0,0,0,-0.15,0,0,0,0,0,-0.56,0,0,0,0,0,0,0,0,0,-7.24,-6.3,-927.93,17.21,15.85,18.72,-104.38,-292.9,-243.8
A039860,나노엔텍,76.17088206,0.8536,건강관리,건강관리장비와서비스,건강관리장비와용품,,3915,4735,3355,3978,-0.0013,0.0426,0.0581,-0.0309,-0.1271,-0.0521,539.055899,186.961675,407.349791,539.83128,0,0,0,-20.2,-20.2,-2683.52,0,0,0,-20.2,-20.2,-6.41,0,0,0,0,0,-2282.61,0,0,0,0,0,0,0,0,-170.9,-202.73,-176.25,-207.15,14.48,43.78,66.72,-76.29,-105.71,55.28
