,SPX Index,NKY Index ,SX5E Index,SPGCICP Index,SPGSCLP Index,SPGSGCP Index,TY1 Comdty,NFP T Index,CPI YoY Index,NHSPATOT Index,LEI CHNG Index,CONSSENT Index,DXY Index
2012-05-31,1310.33,8542.73,2118.94,660.5383,468.37,133.09,134.90625,133522,1.7,784,0.4,79.3,83.043
2012-06-29,1362.16,9006.78,2264.72,682.8492,458.22,136.49,133.375,133609,1.7,760,-0.6,73.2,81.627
2012-07-31,1379.32,8695.06,2325.72,671.0732,472.81,136.97,134.65625,133762,1.4,811,0.4,72.3,82.635
2012-08-31,1406.58,8839.91,2440.71,675.904,516.42,143.16,134.75,133927,1.7,801,-0.4,74.3,81.208
2012-09-28,1440.67,8870.16,2454.26,728.1865,491.84,150.48,133.484375,134065,2,890,0.5,78.3,79.935
2012-10-31,1412.16,8928.29,2503.64,688.0749,458.09,145.83,133.03125,134225,2.2,868,0.2,82.6,79.919
2012-11-30,1416.18,9446.01,2575.25,708.3185,469.65,145.1,134.125,134472,1.8,900,0,82.7,80.153
2012-12-31,1426.19,10395.18,2635.93,701.7298,481.96,141.97,132.78125,134691,1.7,909,0.4,72.9,79.769
2013-01-31,1498.11,11138.66,2702.98,720.9281,509.28,140.62,131.28125,134839,1.6,904,0.5,73.8,79.207
2013-02-28,1514.68,11559.36,2633.55,689.1627,478.12,133.52,132.703125,135107,2,939,0.5,77.6,81.949
2013-03-29,1569.19,12397.91,2624.02,664.191,502.68,134.83,131.984375,135195,,,,78.6,82.976
