,BM,LongShort,LongOnly,ShortOnly
2012-06-29,0.030476041,0.031382515,0.031382515,0
2012-07-31,0.005836947,0.006079835,0.006079835,0
2012-08-31,0.010997107,-0.011485305,0,-0.011485305
2012-09-28,0.027464025,-0.028087253,0,-0.028087253
2012-10-31,0.007390172,-0.008211496,0,-0.008211496
2012-11-30,0.020416529,0.020834668,0.020834668,0
2012-12-31,0.046504439,0.04817676,0.04817676,0
2013-01-31,0.036921811,0.038105598,0.038105598,0
2013-02-28,-0.000887803,-0.000223665,-0.000223665,0
2013-03-29,0.00851877,-0.009391138,0,-0.009391138
2013-04-30,0.028761368,0.030238046,0.030238046,0
